2020-05-01,1.03
2020-05-02,1.03
2020-05-03,1.03
2020-05-04,1.04
2020-05-05,1.04
2020-05-06,1.05
2020-05-07,1.06
2020-05-08,1.06
2020-05-09,1.07
2020-05-10,1.06
2020-05-11,1.05
2020-05-12,1.05
2020-05-13,1.04
2020-05-14,1.04
2020-05-15,1.02
2020-05-16,1.01
2020-05-17,1.0
2020-05-18,0.98
2020-05-19,0.97
2020-05-20,0.96
2020-05-21,0.95
2020-05-22,0.94
2020-05-23,0.93
2020-05-24,0.92
2020-05-25,0.92
2020-05-26,0.91
2020-05-27,0.91
2020-05-28,0.9
2020-05-29,0.89
2020-05-30,0.88
2020-05-31,0.87
2020-06-01,0.86
2020-06-02,0.86
2020-06-03,0.85
2020-06-04,0.85
2020-06-05,0.85
2020-06-06,0.85
2020-06-07,0.85
2020-06-08,0.86
2020-06-09,0.86
2020-06-10,0.87
2020-06-11,0.88
2020-06-12,0.89
2020-06-13,0.89
2020-06-14,0.88
2020-06-15,0.87
2020-06-16,0.87
2020-06-17,0.86
2020-06-18,0.86
2020-06-19,0.86
2020-06-20,0.85
2020-06-21,0.85
2020-06-22,0.86
2020-06-23,0.86
2020-06-24,0.86
2020-06-25,0.85
2020-06-26,0.85
2020-06-27,0.84
2020-06-28,0.84
2020-06-29,0.83
2020-06-30,0.83
2020-07-01,0.82
2020-07-02,0.81
2020-07-03,0.8
2020-07-04,0.79
2020-07-05,0.78
2020-07-06,0.78
2020-07-07,0.78
2020-07-08,0.78
2020-07-09,0.78
2020-07-10,0.78
2020-07-11,0.78
2020-07-12,0.78
2020-07-13,0.79
2020-07-14,0.8
2020-07-15,0.81
2020-07-16,0.82
2020-07-17,0.83
2020-07-18,0.85
2020-07-19,0.86
2020-07-20,0.88
2020-07-21,0.89
2020-07-22,0.9
2020-07-23,0.91
2020-07-24,0.92
2020-07-25,0.93
2020-07-26,0.93
2020-07-27,0.94
2020-07-28,0.94
2020-07-29,0.95
2020-07-30,0.95
2020-07-31,0.95
2020-08-01,0.95
2020-08-02,0.94
2020-08-03,0.94
2020-08-04,0.94
2020-08-05,0.94
2020-08-06,0.94
2020-08-07,0.94
2020-08-08,0.94
2020-08-09,0.94
2020-08-10,0.93
2020-08-11,0.93
2020-08-12,0.93
2020-08-13,0.93
2020-08-14,0.93
2020-08-15,0.93
2020-08-16,0.93
2020-08-17,0.93
2020-08-18,0.92
2020-08-19,0.92
2020-08-20,0.92
2020-08-21,0.92
2020-08-22,0.91
2020-08-23,0.91
2020-08-24,0.9
2020-08-25,0.9
2020-08-26,0.9
2020-08-27,0.9
2020-08-28,0.9
2020-08-29,0.89
2020-08-30,0.89
2020-08-31,0.89
2020-09-01,0.89
2020-09-02,0.89
2020-09-03,0.89
2020-09-04,0.89
2020-09-05,0.89
2020-09-06,0.89
2020-09-07,0.89
2020-09-08,0.89
2020-09-09,0.9
2020-09-10,0.9
2020-09-11,0.9
2020-09-12,0.9
2020-09-13,0.9
2020-09-14,0.9
2020-09-15,0.9
2020-09-16,0.9
2020-09-17,0.9
2020-09-18,0.9
2020-09-19,0.9
2020-09-20,0.9
2020-09-21,0.9
2020-09-22,0.91
2020-09-23,0.9
2020-09-24,0.9
2020-09-25,0.9
2020-09-26,0.91
2020-09-27,0.91
2020-09-28,0.91
2020-09-29,0.92
2020-09-30,0.92
2020-10-01,0.93
2020-10-02,0.93
2020-10-03,0.94
2020-10-04,0.94
2020-10-05,0.94
2020-10-06,0.94
