2020-03-09,2.0
2020-03-10,10.0
2020-03-11,12.0
2020-03-12,23.0
2020-03-13,33.0
2020-03-14,38.0
2020-03-15,42.0
2020-03-16,51.0
2020-03-17,55.0
2020-03-18,59.0
2020-03-19,64.0
2020-03-20,70.0
2020-03-21,76.0
2020-03-22,89.0
2020-03-23,104.0
2020-03-24,123.0
2020-03-25,146.0
2020-03-26,174.0
2020-03-27,186.0
2020-03-28,197.0
2020-03-29,212.0
2020-03-30,223.0
2020-03-31,243.0
2020-04-01,259.0
2020-04-02,277.0
2020-04-03,304.0
2020-04-04,333.0
2020-04-05,361.0
2020-04-06,377.0
2020-04-07,383.0
2020-04-08,400.0
2020-04-09,409.0
2020-04-10,416.0
2020-04-11,433.0
2020-04-12,446.0
2020-04-13,467.0
2020-04-14,475.0
2020-04-15,494.0
2020-04-16,518.0
2020-04-17,539.0
2020-04-18,548.0
2020-04-19,562.0
2020-04-20,584.0
2020-04-21,609.0
2020-04-22,634.0
2020-04-23,663.0
2020-04-24,678.0
2020-04-25,712.0
2020-04-26,726.0
2020-04-27,736.0
2020-04-28,750.0
2020-04-29,766.0
2020-04-30,773.0
2020-05-01,782.0
2020-05-02,789.0
2020-05-03,795.0
2020-05-04,803.0
2020-05-05,820.0
2020-05-06,832.0
2020-05-07,842.0
2020-05-08,850.0
2020-05-09,856.0
2020-05-10,868.0
2020-05-11,872.0
2020-05-12,876.0
2020-05-13,880.0
2020-05-14,898.0
2020-05-15,916.0
2020-05-16,933.0
2020-05-17,946.0
2020-05-18,948.0
2020-05-19,949.0
2020-05-20,964.0
2020-05-21,969.0
2020-05-22,981.0
2020-05-23,989.0
2020-05-24,998.0
2020-05-25,1004.0
2020-05-26,1029.0
2020-05-27,1050.0
2020-05-28,1076.0
2020-05-29,1099.0
2020-05-30,1122.0
2020-05-31,1137.0
2020-06-01,1143.0
2020-06-02,1164.0
2020-06-03,1184.0
2020-06-04,1197.0
2020-06-05,1212.0
2020-06-06,1232.0
2020-06-07,1246.0
2020-06-08,1263.0
2020-06-09,1299.0
2020-06-10,1341.0
2020-06-11,1385.0
2020-06-12,1416.0
2020-06-13,1464.0
2020-06-14,1521.0
2020-06-15,1590.0
2020-06-16,1672.0
2020-06-17,1722.0
2020-06-18,1788.0
2020-06-19,1838.0
2020-06-20,1891.0
2020-06-21,1962.0
2020-06-22,1995.0
2020-06-23,2047.0
2020-06-24,2114.0
2020-06-25,2192.0
2020-06-26,2269.0
2020-06-27,2330.0
2020-06-28,2402.0
2020-06-29,2466.0
2020-06-30,2535.0
2020-07-01,2580.0
2020-07-02,2662.0
2020-07-03,2752.0
2020-07-04,2819.0
2020-07-05,2893.0
2020-07-06,2964.0
2020-07-07,3038.0
2020-07-08,3106.0
2020-07-09,3188.0
2020-07-10,3278.0
2020-07-11,3371.0
2020-07-12,3454.0
2020-07-13,3571.0
2020-07-14,3667.0
2020-07-15,3752.0
2020-07-16,3851.0
2020-07-17,3906.0
2020-07-18,4008.0
2020-07-19,4090.0
2020-07-20,4171.0
2020-07-21,4290.0
2020-07-22,4358.0
2020-07-23,4466.0
2020-07-24,4570.0
2020-07-25,4637.0
2020-07-26,4763.0
2020-07-27,4880.0
2020-07-28,4997.0
2020-07-29,5105.0
2020-07-30,5197.0
2020-07-31,5276.0
2020-08-01,5396.0
2020-08-02,5519.0
2020-08-03,5620.0
2020-08-04,5750.0
2020-08-05,5889.0
2020-08-06,6016.0
2020-08-07,6151.0
2020-08-08,6275.0
2020-08-09,6411.0
2020-08-10,6536.0
2020-08-11,6676.0
2020-08-12,6817.0
2020-08-13,6971.0
2020-08-14,7117.0
2020-08-15,7260.0
2020-08-16,7380.0
2020-08-17,7499.0
2020-08-18,7654.0
2020-08-19,7812.0
2020-08-20,7967.0
2020-08-21,8119.0
2020-08-22,8275.0
2020-08-23,8427.0
2020-08-24,8605.0
2020-08-25,8759.0
2020-08-26,8927.0
2020-08-27,9083.0
2020-08-28,9195.0
2020-08-29,9279.0
2020-08-30,9380.0
2020-08-31,9513.0
2020-09-01,9606.0
2020-09-02,9728.0
2020-09-03,9844.0
2020-09-04,9967.0
2020-09-05,10102.0
2020-09-06,10255.0
2020-09-07,10406.0
2020-09-08,10553.0
2020-09-09,10704.0
2020-09-10,10860.0
2020-09-11,11021.0
2020-09-12,11185.0
2020-09-13,11353.0
2020-09-14,11520.0
2020-09-15,11672.0
2020-09-16,11816.0
2020-09-17,11948.0
2020-09-18,12073.0
2020-09-19,12226.0
2020-09-20,12385.0
2020-09-21,12535.0
2020-09-22,12666.0
2020-09-23,12787.0
2020-09-24,12921.0
2020-09-25,13045.0
2020-09-26,13153.0
2020-09-27,13259.0
2020-09-28,13391.0
2020-09-29,13518.0
2020-09-30,13649.0
2020-10-01,13806.0
2020-10-02,13965.0
2020-10-03,14117.0
2020-10-04,14266.0
2020-10-05,14410.0
2020-10-06,14568.0
2020-10-07,14730.0
2020-10-08,14899.0
2020-10-09,15066.0
2020-10-10,15231.0
2020-10-11,15399.0
2020-10-12,15570.0
2020-10-13,15752.0
2020-10-14,15955.0
2020-10-15,16212.0
2020-10-16,16501.0
2020-10-17,16774.0
2020-10-18,17055.0
2020-10-19,17350.0
2020-10-20,17651.0
2020-10-21,17948.0
2020-10-22,18250.0
2020-10-23,18556.0
2020-10-24,18858.0
2020-10-25,19157.0
2020-10-26,19445.0
2020-10-27,19729.0
2020-10-28,20040.0
2020-10-29,20315.0
2020-10-30,20634.0
2020-10-31,20875.0
2020-11-01,21202.0
2020-11-02,21523.0
2020-11-03,21904.0
2020-11-04,22300.0
2020-11-05,22721.0
2020-11-06,23210.0
2020-11-07,23705.0
2020-11-08,24206.0
2020-11-09,24731.0
2020-11-10,25294.0
2020-11-11,25801.0
2020-11-12,26211.0
2020-11-13,26701.0
2020-11-14,27233.0
2020-11-15,27830.0
2020-11-16,28432.0
2020-11-17,29126.0
2020-11-18,29837.0
2020-11-19,30623.0
2020-11-20,31459.0
2020-11-21,32196.0
2020-11-22,32761.0
2020-11-23,33556.0
2020-11-24,34300.0
2020-11-25,34944.0
2020-11-26,35600.0
2020-11-27,36245.0
2020-11-28,36790.0
2020-11-29,37625.0
2020-11-30,38182.0
2020-12-01,39014.0
2020-12-02,39719.0
2020-12-03,40501.0
2020-12-04,41302.0
2020-12-05,42148.0
2020-12-06,42988.0
2020-12-07,43683.0
2020-12-08,44436.0
2020-12-09,45188.0
2020-12-10,46061.0
2020-12-11,46863.0
2020-12-12,47742.0
2020-12-13,48530.0
2020-12-14,49191.0
2020-12-15,50000.0
2020-12-16,50637.0
2020-12-17,51424.0
2020-12-18,52004.0
2020-12-19,52542.0
2020-12-20,53003.0
2020-12-21,53425.0
2020-12-22,53814.0
2020-12-23,54317.0
2020-12-24,54827.0
2020-12-25,55380.0
2020-12-26,55755.0
2020-12-27,56254.0
2020-12-28,56572.0
2020-12-29,57146.0
2020-12-30,57727.0
2020-12-31,58316.0
2021-01-01,58316.0
2021-01-02,58991.0
2021-01-03,59438.0
2021-01-04,59623.0
2021-01-05,60283.0
2021-01-06,61008.0
2021-01-07,61705.0
2021-01-08,62378.0
