2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-02-29,2.0
2020-03-01,2.0
2020-03-02,2.0
2020-03-03,2.0
2020-03-04,4.0
2020-03-05,4.0
2020-03-06,13.0
2020-03-07,13.0
2020-03-08,20.0
2020-03-09,25.0
2020-03-10,31.0
2020-03-11,38.0
2020-03-12,52.0
2020-03-13,151.0
2020-03-14,151.0
2020-03-15,162.0
2020-03-16,200.0
2020-03-17,321.0
2020-03-18,372.0
2020-03-19,621.0
2020-03-20,793.0
2020-03-21,1021.0
2020-03-22,1546.0
2020-03-23,1924.0
2020-03-24,2247.0
2020-03-25,2554.0
2020-03-26,2985.0
2020-03-27,3417.0
2020-03-28,3904.0
2020-03-29,4256.0
2020-03-30,4579.0
2020-03-31,5717.0
2020-04-01,6836.0
2020-04-02,8044.0
2020-04-03,9056.0
2020-04-04,10360.0
2020-04-05,11130.0
2020-04-06,12161.0
2020-04-07,14034.0
2020-04-08,16170.0
2020-04-09,18092.0
2020-04-10,19638.0
2020-04-11,20727.0
2020-04-12,22192.0
2020-04-13,23430.0
2020-04-14,25262.0
2020-04-15,28320.0
2020-04-16,30425.0
2020-04-17,33682.0
2020-04-18,36658.0
2020-04-19,38654.0
2020-04-20,40743.0
2020-04-21,43079.0
2020-04-22,45757.0
2020-04-23,50036.0
2020-04-24,54043.0
2020-04-25,59324.0
2020-04-26,63100.0
2020-04-27,67446.0
2020-04-28,73235.0
2020-04-29,79685.0
2020-04-30,87187.0
2020-05-01,92202.0
2020-05-02,97100.0
2020-05-03,101826.0
2020-05-04,108620.0
2020-05-05,115455.0
2020-05-06,126611.0
2020-05-07,135773.0
2020-05-08,146894.0
2020-05-09,156061.0
2020-05-10,162699.0
2020-05-11,169594.0
2020-05-12,178214.0
2020-05-13,190137.0
2020-05-14,203165.0
2020-05-15,220291.0
2020-05-16,233511.0
2020-05-17,241080.0
2020-05-18,255368.0
2020-05-19,271885.0
2020-05-20,291579.0
2020-05-21,310087.0
2020-05-22,330890.0
2020-05-23,347398.0
2020-05-24,363211.0
2020-05-25,374898.0
2020-05-26,391222.0
2020-05-27,411821.0
2020-05-28,438238.0
2020-05-29,465166.0
2020-05-30,498440.0
2020-05-31,514849.0
2020-06-01,526447.0
2020-06-02,555383.0
2020-06-03,584016.0
2020-06-04,614941.0
2020-06-05,645771.0
2020-06-06,672846.0
2020-06-07,691758.0
2020-06-08,707412.0
2020-06-09,739503.0
2020-06-10,772416.0
2020-06-11,802828.0
2020-06-12,828810.0
2020-06-13,850514.0
2020-06-14,867624.0
2020-06-15,888271.0
2020-06-16,923189.0
2020-06-17,955377.0
2020-06-18,978142.0
2020-06-19,1032913.0
2020-06-20,1067579.0
2020-06-21,1083341.0
2020-06-22,1106470.0
2020-06-23,1145906.0
2020-06-24,1188631.0
2020-06-25,1228114.0
2020-06-26,1274974.0
2020-06-27,1313667.0
2020-06-28,1344143.0
2020-06-29,1368195.0
2020-06-30,1402041.0
2020-07-01,1448753.0
2020-07-02,1496858.0
2020-07-03,1539081.0
2020-07-04,1577004.0
2020-07-05,1603055.0
2020-07-06,1623284.0
2020-07-07,1668589.0
2020-07-08,1713160.0
2020-07-09,1755779.0
2020-07-10,1800827.0
2020-07-11,1839850.0
2020-07-12,1864681.0
2020-07-13,1884967.0
2020-07-14,1926824.0
2020-07-15,1966748.0
2020-07-16,2012151.0
2020-07-17,2046328.0
2020-07-18,2074860.0
2020-07-19,2098389.0
2020-07-20,2118646.0
2020-07-21,2159654.0
2020-07-22,2227514.0
2020-07-23,2287475.0
2020-07-24,2343366.0
2020-07-25,2394513.0
2020-07-26,2419091.0
2020-07-27,2442375.0
2020-07-28,2483191.0
2020-07-29,2552265.0
2020-07-30,2610102.0
2020-07-31,2662485.0
