2020-01-30,1.0
2020-01-31,1.0
2020-02-01,1.0
2020-02-02,2.0
2020-02-03,3.0
2020-02-04,3.0
2020-02-05,3.0
2020-02-06,3.0
2020-02-07,3.0
2020-02-08,3.0
2020-02-09,3.0
2020-02-10,3.0
2020-02-11,3.0
2020-02-12,3.0
2020-02-13,3.0
2020-02-14,3.0
2020-02-15,3.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-18,3.0
2020-02-19,3.0
2020-02-20,3.0
2020-02-21,3.0
2020-02-22,3.0
2020-02-23,3.0
2020-02-24,3.0
2020-02-25,3.0
2020-02-26,3.0
2020-02-27,3.0
2020-02-28,3.0
2020-02-29,3.0
2020-03-01,3.0
2020-03-02,5.0
2020-03-03,5.0
2020-03-04,28.0
2020-03-05,30.0
2020-03-06,31.0
2020-03-07,34.0
2020-03-08,39.0
2020-03-09,43.0
2020-03-10,56.0
2020-03-11,62.0
2020-03-12,73.0
2020-03-13,82.0
2020-03-14,102.0
2020-03-15,113.0
2020-03-16,119.0
2020-03-17,142.0
2020-03-18,156.0
2020-03-19,194.0
2020-03-20,244.0
2020-03-21,330.0
2020-03-22,396.0
2020-03-23,499.0
2020-03-24,536.0
2020-03-25,657.0
2020-03-26,727.0
2020-03-27,887.0
2020-03-28,987.0
2020-03-29,1024.0
2020-03-30,1251.0
2020-03-31,1397.0
2020-04-01,1998.0
2020-04-02,2543.0
2020-04-03,2567.0
2020-04-04,3082.0
2020-04-05,3588.0
2020-04-06,4778.0
2020-04-07,5311.0
2020-04-08,5916.0
2020-04-09,6725.0
2020-04-10,7598.0
2020-04-11,8446.0
2020-04-12,9205.0
2020-04-13,10453.0
2020-04-14,11487.0
2020-04-15,12322.0
2020-04-16,13430.0
2020-04-17,14352.0
2020-04-18,15722.0
2020-04-19,17615.0
2020-04-20,18539.0
2020-04-21,20080.0
2020-04-22,21370.0
2020-04-23,23077.0
2020-04-24,24530.0
2020-04-25,26283.0
2020-04-26,27890.0
2020-04-27,29451.0
2020-04-28,31324.0
2020-04-29,33062.0
2020-04-30,34863.0
2020-05-01,37257.0
2020-05-02,39699.0
2020-05-03,42505.0
2020-05-04,46437.0
2020-05-05,49400.0
2020-05-06,52987.0
2020-05-07,56351.0
2020-05-08,59695.0
2020-05-09,62808.0
2020-05-10,67161.0
2020-05-11,70768.0
2020-05-12,74292.0
2020-05-13,78055.0
2020-05-14,81997.0
2020-05-15,85784.0
2020-05-16,90648.0
2020-05-17,95698.0
2020-05-18,100328.0
2020-05-19,106475.0
2020-05-20,112028.0
2020-05-21,118226.0
2020-05-22,124794.0
2020-05-23,131423.0
2020-05-24,138536.0
2020-05-25,144950.0
2020-05-26,150793.0
2020-05-27,158086.0
2020-05-28,165386.0
