2020-12-26,65720.0
2020-12-27,65720.0
2020-12-28,65720.0
2020-12-29,65720.0
2020-12-30,65720.0
2020-12-31,65720.0
2021-01-01,65720.0
2021-01-02,65720.0
2021-01-03,65720.0
2021-01-04,65720.0
2021-01-05,65720.0
2021-01-06,65720.0
2021-01-07,65720.0
2021-01-08,65720.0
2021-01-09,65720.0
2021-01-10,65720.0
2021-01-11,65720.0
2021-01-12,65720.0
2021-01-13,65720.0
2021-01-14,65720.0
2021-01-15,65720.0
2021-01-16,65720.0
2021-01-17,65720.0
2021-01-18,65720.0
2021-01-19,65720.0
2021-01-20,65720.0
2021-01-21,65720.0
2021-01-22,65720.0
2021-01-23,65720.0
2021-01-24,65720.0
2021-01-25,65720.0
2021-01-26,65720.0
2021-01-27,65720.0
2021-01-28,65720.0
2021-01-29,65720.0
2021-01-30,65720.0
2021-01-31,65720.0
2021-02-01,65720.0
2021-02-02,65720.0
2021-02-03,65720.0
2021-02-04,65720.0
2021-02-05,65720.0
2021-02-06,65720.0
2021-02-07,65720.0
2021-02-08,65720.0
2021-02-09,65720.0
2021-02-10,65720.0
2021-02-11,65720.0
2021-02-12,65720.0
