2021-01-11,278.0
2021-01-12,278.0
2021-01-13,278.0
2021-01-14,278.0
2021-01-15,278.0
2021-01-16,278.0
2021-01-17,264.0
2021-01-18,250.0
2021-01-19,236.0
2021-01-20,222.0
2021-01-21,209.0
2021-01-22,195.0
2021-01-23,181.0
2021-01-24,195.0
2021-01-25,209.0
2021-01-26,224.0
2021-01-27,238.0
2021-01-28,252.0
2021-01-29,266.0
2021-01-30,281.0
2021-01-31,326.0
2021-02-01,372.0
2021-02-02,417.0
2021-02-03,463.0
2021-02-04,509.0
2021-02-05,554.0
2021-02-06,600.0
2021-02-07,557.0
2021-02-08,515.0
2021-02-09,472.0
