2021-01-10,38718.0
2021-01-11,38718.0
2021-01-12,38718.0
2021-01-13,38718.0
2021-01-14,38718.0
2021-01-15,38718.0
2021-01-16,38718.0
2021-01-17,38718.0
2021-01-18,38718.0
2021-01-19,38718.0
2021-01-20,38718.0
2021-01-21,38718.0
2021-01-22,38718.0
2021-01-23,38718.0
2021-01-24,38718.0
2021-01-25,38718.0
2021-01-26,38718.0
2021-01-27,38718.0
2021-01-28,38718.0
2021-01-29,38718.0
2021-01-30,38718.0
2021-01-31,38718.0
2021-02-01,38718.0
2021-02-02,38718.0
2021-02-03,38718.0
2021-02-04,38718.0
2021-02-05,38718.0
2021-02-06,38718.0
2021-02-07,38718.0
2021-02-08,38718.0
