2020-02-27,1.0
2020-02-28,1.0
2020-02-29,3.0
2020-03-01,4.0
2020-03-02,4.0
2020-03-03,6.0
2020-03-04,11.0
2020-03-05,11.0
2020-03-06,24.0
2020-03-07,24.0
2020-03-08,37.0
2020-03-09,92.0
2020-03-10,264.0
2020-03-11,444.0
2020-03-12,617.0
2020-03-13,804.0
2020-03-14,836.0
2020-03-15,875.0
2020-03-16,933.0
2020-03-17,1025.0
2020-03-18,1116.0
2020-03-19,1225.0
2020-03-20,1337.0
2020-03-21,1420.0
2020-03-22,1514.0
2020-03-23,1572.0
2020-03-24,1718.0
2020-03-25,1862.0
2020-03-26,2023.0
2020-03-27,2200.0
2020-03-28,2366.0
2020-03-29,2564.0
2020-03-30,2755.0
2020-03-31,3039.0
2020-04-01,3290.0
2020-04-02,3573.0
2020-04-03,3946.0
2020-04-04,4269.0
2020-04-05,4561.0
2020-04-06,4875.0
2020-04-07,5266.0
2020-04-08,5597.0
2020-04-09,5830.0
2020-04-10,6014.0
2020-04-11,6191.0
2020-04-12,6369.0
2020-04-13,6513.0
2020-04-14,6706.0
2020-04-15,6876.0
2020-04-16,7074.0
2020-04-17,7268.0
2020-04-18,7437.0
2020-04-19,7580.0
2020-04-20,7711.0
2020-04-21,7891.0
2020-04-22,8108.0
2020-04-23,8271.0
2020-04-24,8408.0
2020-04-25,8643.0
2020-04-26,8773.0
2020-04-27,8896.0
2020-04-28,9049.0
2020-04-29,9206.0
2020-04-30,9356.0
2020-05-01,9509.0
2020-05-02,9605.0
2020-05-03,9721.0
2020-05-04,9868.0
2020-05-05,10019.0
2020-05-06,10136.0
2020-05-07,10281.0
2020-05-08,10416.0
2020-05-09,10517.0
2020-05-10,10627.0
2020-05-11,10711.0
2020-05-12,10789.0
2020-05-13,10865.0
2020-05-14,10911.0
2020-05-15,10989.0
2020-05-16,11056.0
2020-05-17,11125.0
2020-05-18,11166.0
2020-05-19,11242.0
2020-05-20,11315.0
2020-05-21,11380.0
2020-05-22,11428.0
2020-05-23,11487.0
2020-05-24,11559.0
2020-05-25,11586.0
2020-05-26,11627.0
2020-05-27,11680.0
2020-05-28,11712.0
2020-05-29,11793.0
2020-05-30,11833.0
2020-05-31,11869.0
2020-06-01,11899.0
2020-06-02,11934.0
2020-06-03,11971.0
2020-06-04,12011.0
2020-06-05,12075.0
2020-06-06,12124.0
2020-06-07,12148.0
2020-06-08,12162.0
2020-06-09,12201.0
2020-06-10,12216.0
2020-06-11,12235.0
2020-06-12,12299.0
2020-06-13,12339.0
2020-06-14,12393.0
2020-06-15,12417.0
2020-06-16,12450.0
2020-06-17,12494.0
2020-06-18,12544.0
2020-06-19,12591.0
2020-06-20,12591.0
2020-06-21,12591.0
2020-06-22,12727.0
2020-06-23,12761.0
2020-06-24,12815.0
2020-06-25,12836.0
2020-06-26,12875.0
2020-06-27,12875.0
2020-06-28,12875.0
2020-06-29,12951.0
2020-06-30,12968.0
2020-07-01,12994.0
2020-07-02,13015.0
2020-07-03,13032.0
2020-07-04,13032.0
2020-07-05,13033.0
2020-07-06,13079.0
2020-07-07,13089.0
2020-07-08,13101.0
2020-07-09,13117.0
2020-07-10,13147.0
2020-07-11,13147.0
2020-07-12,13147.0
2020-07-13,13238.0
2020-07-14,13262.0
2020-07-15,13293.0
2020-07-16,13325.0
2020-07-17,13374.0
2020-07-18,13374.0
2020-07-19,13377.0
2020-07-20,13466.0
2020-07-21,13506.0
2020-07-22,13554.0
2020-07-23,13594.0
2020-07-24,13642.0
2020-07-25,13643.0
2020-07-26,13665.0
2020-07-27,13775.0
2020-07-28,13811.0
2020-07-29,13868.0
2020-07-30,13964.0
2020-07-31,14028.0
2020-08-01,14028.0
2020-08-02,14028.0
2020-08-03,14235.0
2020-08-04,14314.0
2020-08-05,14440.0
2020-08-06,14586.0
2020-08-07,14747.0
2020-08-08,14751.0
2020-08-09,14759.0
2020-08-10,15135.0
2020-08-11,15291.0
2020-08-12,15423.0
2020-08-13,15590.0
2020-08-14,15758.0
2020-08-15,15867.0
