2020-02-24,1.0
2020-02-25,0.0
2020-02-26,4.0
2020-02-27,2.0
2020-02-28,0.0
2020-02-29,6.0
2020-03-01,6.0
2020-03-02,7.0
2020-03-03,6.0
2020-03-04,3.0
2020-03-05,0.0
2020-03-06,5.0
2020-03-07,14.0
2020-03-08,6.0
2020-03-09,0.0
2020-03-10,11.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,30.0
2020-03-14,9.0
2020-03-15,6.0
2020-03-16,8.0
2020-03-17,30.0
2020-03-18,10.0
2020-03-19,28.0
2020-03-20,16.0
2020-03-21,6.0
2020-03-22,19.0
2020-03-23,33.0
2020-03-24,50.0
2020-03-25,30.0
2020-03-26,36.0
2020-03-27,76.0
2020-03-28,48.0
2020-03-29,41.0
2020-03-30,83.0
2020-03-31,64.0
2020-04-01,34.0
2020-04-02,44.0
2020-04-03,48.0
2020-04-04,58.0
2020-04-05,83.0
2020-04-06,70.0
2020-04-07,91.0
2020-04-08,80.0
2020-04-09,30.0
2020-04-10,47.0
2020-04-11,39.0
2020-04-12,34.0
2020-04-13,26.0
2020-04-14,22.0
2020-04-15,15.0
2020-04-16,19.0
2020-04-17,48.0
2020-04-18,31.0
2020-04-19,26.0
2020-04-20,35.0
2020-04-21,28.0
2020-04-22,29.0
2020-04-23,46.0
2020-04-24,31.0
2020-04-25,55.0
2020-04-26,57.0
2020-04-27,27.0
2020-04-28,81.0
2020-04-29,75.0
2020-04-30,82.0
2020-05-01,68.0
2020-05-02,66.0
2020-05-03,77.0
2020-05-04,50.0
2020-05-05,85.0
2020-05-06,49.0
2020-05-07,63.0
2020-05-08,60.0
2020-05-09,76.0
2020-05-10,88.0
2020-05-11,51.0
2020-05-12,95.0
2020-05-13,119.0
2020-05-14,111.0
2020-05-15,50.0
2020-05-16,67.0
2020-05-17,144.0
2020-05-18,150.0
2020-05-19,57.0
2020-05-20,113.0
2020-05-21,153.0
2020-05-22,87.0
2020-05-23,308.0
2020-05-24,197.0
2020-05-25,163.0
2020-05-26,216.0
2020-05-27,287.0
2020-05-28,322.0
2020-05-29,416.0
2020-05-30,306.0
2020-05-31,260.0
2020-06-01,429.0
2020-06-02,519.0
2020-06-03,781.0
2020-06-04,672.0
2020-06-05,1006.0
2020-06-06,1252.0
2020-06-07,1268.0
2020-06-08,1115.0
2020-06-09,787.0
2020-06-10,1146.0
2020-06-11,1261.0
2020-06-12,1095.0
2020-06-13,1180.0
2020-06-14,1259.0
2020-06-15,1106.0
2020-06-16,1385.0
2020-06-17,1554.0
2020-06-18,1463.0
2020-06-19,1635.0
2020-06-20,1870.0
2020-06-21,1646.0
2020-06-22,1808.0
2020-06-23,1826.0
2020-06-24,2200.0
2020-06-25,2437.0
2020-06-26,2054.0
2020-06-27,2069.0
2020-06-28,2140.0
2020-06-29,1749.0
2020-06-30,1958.0
2020-07-01,2415.0
2020-07-02,2184.0
2020-07-03,2312.0
2020-07-04,2334.0
2020-07-05,2125.0
