2020-01-31,49.07
2020-02-29,52.78
2020-03-31,63.89
2020-04-30,66.67
2020-05-31,52.78
2020-06-30,41.67
2020-07-31,66.67
2020-08-31,66.67
2020-09-01,66.67
2020-09-02,66.67
2020-09-03,66.67
2020-09-04,66.67
2020-09-05,66.67
2020-09-06,66.67
2020-09-07,66.67
2020-09-08,66.67
2020-09-09,66.67
2020-09-10,66.67
2020-09-11,62.96
2020-09-12,62.96
2020-09-13,62.96
2020-09-14,62.96
2020-09-15,62.96
2020-09-16,62.96
2020-09-17,62.96
2020-09-18,62.96
2020-09-19,62.96
2020-09-20,62.96
2020-09-21,62.96
2020-09-22,62.96
2020-09-23,59.26
2020-09-24,59.26
2020-09-25,59.26
2020-09-26,55.56
2020-09-27,55.56
2020-09-28,55.56
2020-09-29,51.85
2020-09-30,51.85
2020-10-01,51.85
2020-10-02,51.85
2020-10-03,51.85
2020-10-04,51.85
2020-10-05,51.85
2020-10-06,51.85
2020-10-07,51.85
2020-10-08,51.85
2020-10-09,51.85
2020-10-10,51.85
2020-10-11,51.85
2020-10-12,51.85
2020-10-13,51.85
2020-10-14,51.85
2020-10-15,51.85
2020-10-16,51.85
2020-10-17,51.85
2020-10-18,51.85
2020-10-19,51.85
2020-10-20,51.85
2020-10-21,51.85
2020-10-22,51.85
2020-10-23,51.85
2020-10-24,51.85
2020-10-25,51.85
2020-10-26,51.85
2020-10-27,51.85
2020-10-28,51.85
2020-10-29,51.85
2020-10-30,51.85
2020-10-31,51.85
2020-11-30,68.52
2020-12-29,71.3
