2020-03-10,1.0
2020-03-11,1.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,1.0
2020-03-16,12.0
2020-03-17,0.0
2020-03-18,5.0
2020-03-19,13.0
2020-03-20,7.0
2020-03-21,24.0
2020-03-22,11.0
2020-03-23,24.0
2020-03-24,15.0
2020-03-25,32.0
2020-03-26,6.0
2020-03-27,28.0
2020-03-28,27.0
2020-03-29,15.0
2020-03-30,24.0
2020-03-31,15.0
2020-04-01,21.0
2020-04-02,6.0
2020-04-03,14.0
2020-04-04,16.0
2020-04-05,27.0
2020-04-06,19.0
2020-04-07,20.0
2020-04-08,30.0
2020-04-09,29.0
2020-04-10,0.0
2020-04-11,41.0
2020-04-12,13.0
2020-04-13,0.0
2020-04-14,31.0
2020-04-15,14.0
2020-04-16,4.0
2020-04-17,11.0
2020-04-18,8.0
2020-04-19,11.0
2020-04-20,5.0
2020-04-21,19.0
2020-04-22,9.0
2020-04-23,7.0
2020-04-24,13.0
2020-04-25,0.0
2020-04-26,3.0
2020-04-27,3.0
2020-04-28,3.0
2020-04-29,3.0
2020-04-30,4.0
2020-05-01,4.0
2020-05-02,3.0
2020-05-03,10.0
2020-05-04,10.0
2020-05-05,16.0
2020-05-06,41.0
2020-05-07,7.0
2020-05-08,8.0
2020-05-09,4.0
2020-05-10,3.0
2020-05-11,9.0
2020-05-12,6.0
2020-05-13,7.0
2020-05-14,0.0
2020-05-15,7.0
2020-05-16,2.0
2020-05-17,14.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,13.0
2020-05-21,3.0
2020-05-22,2.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,18.0
2020-05-26,0.0
2020-05-27,13.0
2020-05-28,2.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,34.0
2020-06-03,3.0
2020-06-04,1.0
2020-06-05,3.0
2020-06-06,0.0
2020-06-07,1.0
2020-06-08,1.0
2020-06-09,1.0
2020-06-10,0.0
2020-06-11,1.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,2.0
2020-06-15,0.0
2020-06-16,1.0
2020-06-17,4.0
2020-06-18,0.0
2020-06-19,1.0
2020-06-20,1.0
2020-06-21,2.0
2020-06-22,0.0
2020-06-23,4.0
2020-06-24,12.0
2020-06-25,15.0
2020-06-26,7.0
2020-06-27,0.0
2020-06-28,18.0
2020-06-29,0.0
2020-06-30,3.0
2020-07-01,0.0
2020-07-02,5.0
2020-07-03,13.0
2020-07-04,7.0
2020-07-05,0.0
2020-07-06,13.0
2020-07-07,3.0
2020-07-08,0.0
2020-07-09,2.0
2020-07-10,15.0
2020-07-11,13.0
2020-07-12,3.0
2020-07-13,0.0
2020-07-14,1.0
2020-07-15,1.0
2020-07-16,0.0
2020-07-17,7.0
2020-07-18,2.0
2020-07-19,5.0
2020-07-20,13.0
2020-07-21,0.0
2020-07-22,1.0
2020-07-23,4.0
2020-07-24,5.0
2020-07-25,11.0
2020-07-26,0.0
2020-07-27,14.0
2020-07-28,5.0
2020-07-29,0.0
2020-07-30,1.0
2020-07-31,0.0
2020-08-01,37.0
2020-08-02,0.0
2020-08-03,7.0
2020-08-04,3.0
2020-08-05,0.0
2020-08-06,5.0
2020-08-07,0.0
2020-08-08,17.0
