2020-03-02,2.0
2020-03-03,2.0
2020-03-04,2.0
2020-03-05,2.0
2020-03-06,4.0
2020-03-07,4.0
2020-03-08,6.0
2020-03-09,19.0
2020-03-10,27.0
2020-03-11,34.0
2020-03-12,34.0
2020-03-13,69.0
2020-03-14,96.0
2020-03-15,117.0
2020-03-16,134.0
2020-03-17,172.0
2020-03-18,227.0
2020-03-19,311.0
2020-03-20,369.0
2020-03-21,450.0
2020-03-22,514.0
2020-03-23,579.0
2020-03-24,686.0
2020-03-25,790.0
2020-03-26,893.0
2020-03-27,1046.0
2020-03-28,1155.0
2020-03-29,1285.0
2020-03-30,1414.0
2020-03-31,1528.0
2020-04-01,1677.0
2020-04-02,1790.0
2020-04-03,1986.0
2020-04-04,2092.0
2020-04-05,2273.0
2020-04-06,2491.0
2020-04-07,2738.0
2020-04-08,2956.0
2020-04-09,3293.0
2020-04-10,3512.0
2020-04-11,3842.0
2020-04-12,4241.0
2020-04-13,4557.0
2020-04-14,4839.0
2020-04-15,5136.0
2020-04-16,5516.0
2020-04-17,5923.0
2020-04-18,6248.0
2020-04-19,6575.0
2020-04-20,6760.0
2020-04-21,7135.0
2020-04-22,7418.0
2020-04-23,7775.0
2020-04-24,8211.0
2020-04-25,8607.0
2020-04-26,8882.0
2020-04-27,9096.0
2020-04-28,9511.0
2020-04-29,9771.0
2020-04-30,10118.0
2020-05-01,10551.0
2020-05-02,10843.0
2020-05-03,11192.0
2020-05-04,11587.0
2020-05-05,12071.0
2020-05-06,12438.0
2020-05-07,12776.0
2020-05-08,13112.0
2020-05-09,13645.0
2020-05-10,14032.0
2020-05-11,14265.0
2020-05-12,14749.0
2020-05-13,15438.0
2020-05-14,16006.0
2020-05-15,16496.0
2020-05-16,17025.0
2020-05-17,17514.0
2020-05-18,18010.0
2020-05-19,18496.0
2020-05-20,19189.0
2020-05-21,20162.0
2020-05-22,20796.0
2020-05-23,21745.0
2020-05-24,22271.0
2020-05-25,22750.0
2020-05-26,23165.0
2020-05-27,23851.0
2020-05-28,24538.0
2020-05-29,25216.0
2020-05-30,25773.0
2020-05-31,26473.0
2020-06-01,26940.0
2020-06-02,27549.0
2020-06-03,28233.0
2020-06-04,28818.0
2020-06-05,29521.0
2020-06-06,30514.0
2020-06-07,31186.0
2020-06-08,32033.0
2020-06-09,33076.0
2020-06-10,34316.0
2020-06-11,35295.0
2020-06-12,36406.0
2020-06-13,37420.0
2020-06-14,38277.0
2020-06-15,39294.0
2020-06-16,40400.0
2020-06-17,41431.0
2020-06-18,42762.0
2020-06-19,43803.0
2020-06-20,45029.0
2020-06-21,45891.0
2020-06-22,46845.0
2020-06-23,47896.0
2020-06-24,49009.0
2020-06-25,50187.0
2020-06-26,51427.0
2020-06-27,52812.0
2020-06-28,54010.0
2020-06-29,55092.0
2020-06-30,56385.0
2020-07-01,57770.0
2020-07-02,59394.0
2020-07-03,60695.0
2020-07-04,62142.0
2020-07-05,63749.0
2020-07-06,64958.0
2020-07-07,66226.0
2020-07-08,68079.0
2020-07-09,70736.0
2020-07-10,72347.0
2020-07-11,74018.0
2020-07-12,75699.0
2020-07-13,76981.0
2020-07-14,78572.0
2020-07-15,80094.0
2020-07-16,81668.0
2020-07-17,83130.0
2020-07-18,84882.0
2020-07-19,86521.0
2020-07-20,88214.0
2020-07-21,89869.0
2020-07-22,91751.0
2020-07-23,93657.0
2020-07-24,95418.0
2020-07-25,97286.0
2020-07-26,98778.0
2020-07-27,100303.0
2020-07-28,102051.0
2020-07-29,104432.0
2020-07-30,106336.0
2020-07-31,108376.0
2020-08-01,109936.0
2020-08-02,111455.0
2020-08-03,113134.0
2020-08-04,115056.0
2020-08-05,116871.0
2020-08-06,118753.0
2020-08-07,121226.0
2020-08-08,123503.0
2020-08-09,125396.0
2020-08-10,127083.0
2020-08-11,128776.0
2020-08-12,130718.0
2020-08-13,132816.0
2020-08-14,135123.0
2020-08-15,137468.0
2020-08-16,139549.0
2020-08-17,141370.0
2020-08-18,143043.0
2020-08-19,144945.0
2020-08-20,147211.0
2020-08-21,149408.0
2020-08-22,151498.0
2020-08-23,153535.0
2020-08-24,155412.0
2020-08-25,157859.0
2020-08-26,160165.0
2020-08-27,162884.0
2020-08-28,165887.0
2020-08-29,169195.0
2020-08-30,172053.0
2020-08-31,174796.0
2020-09-01,177571.0
2020-09-02,180646.0
2020-09-03,184268.0
2020-09-04,187537.0
2020-09-05,190665.0
2020-09-06,194109.0
2020-09-07,196989.0
2020-09-08,200035.0
2020-09-09,203342.0
2020-09-10,207203.0
2020-09-11,210940.0
2020-09-12,214746.0
2020-09-13,218382.0
2020-09-14,221523.0
2020-09-15,225030.0
2020-09-16,228993.0
2020-09-17,232628.0
2020-09-18,236519.0
2020-09-19,240687.0
2020-09-20,244676.0
2020-09-21,248852.0
2020-09-22,252923.0
2020-09-23,257388.0
2020-09-24,262022.0
2020-09-25,266845.0
2020-09-26,271339.0
2020-09-27,275213.0
2020-09-28,278722.0
2020-09-29,282724.0
2020-09-30,287008.0
2020-10-01,291182.0
2020-10-02,295499.0
2020-10-03,299506.0
2020-10-04,303498.0
2020-10-05,307120.0
2020-10-06,311176.0
2020-10-07,315714.0
2020-10-08,320564.0
2020-10-09,324658.0
2020-10-10,328952.0
2020-10-11,333449.0
2020-10-12,336716.0
2020-10-13,340622.0
2020-10-14,344749.0
2020-10-15,349160.0
2020-10-16,353461.0
2020-10-17,357762.0
2020-10-18,361867.0
2020-10-19,365240.0
2020-10-20,368842.0
2020-10-21,373109.0
2020-10-22,377541.0
2020-10-23,381910.0
2020-10-24,385980.0
2020-10-25,389712.0
2020-10-26,392934.0
2020-10-27,396454.0
2020-10-28,400483.0
2020-10-29,404048.0
2020-10-30,406945.0
2020-10-31,410088.0
2020-11-01,412784.0
2020-11-02,415402.0
2020-11-03,418375.0
2020-11-04,421731.0
2020-11-05,425796.0
2020-11-06,429574.0
2020-11-07,433836.0
2020-11-08,437716.0
2020-11-09,440569.0
2020-11-10,444348.0
2020-11-11,448118.0
2020-11-12,452291.0
2020-11-13,457735.0
2020-11-14,463007.0
2020-11-15,467113.0
2020-11-16,470648.0
2020-11-17,474455.0
2020-11-18,478720.0
2020-11-19,483518.0
2020-11-20,488310.0
2020-11-21,493308.0
2020-11-22,497668.0
2020-11-23,502110.0
2020-11-24,506302.0
2020-11-25,511836.0
2020-11-26,516753.0
2020-11-27,522581.0
2020-11-28,527999.0
2020-11-29,534266.0
2020-11-30,538883.0
2020-12-01,543975.0
2020-12-02,549508.0
2020-12-03,557877.0
2020-12-04,563680.0
2020-12-05,569707.0
2020-12-06,575796.0
