2020-03-22,2.0
2020-03-23,1.0
2020-03-24,0.0
2020-03-25,1.0
2020-03-26,2.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,4.0
2020-03-30,2.0
2020-03-31,4.0
2020-04-01,1.0
2020-04-02,2.0
2020-04-03,6.0
2020-04-04,7.0
2020-04-05,3.0
2020-04-06,11.0
2020-04-07,4.0
2020-04-08,4.0
2020-04-09,15.0
2020-04-10,11.0
2020-04-11,20.0
2020-04-12,9.0
2020-04-13,3.0
2020-04-14,15.0
2020-04-15,4.0
2020-04-16,13.0
2020-04-17,9.0
2020-04-18,13.0
2020-04-19,13.0
2020-04-20,10.0
2020-04-21,7.0
2020-04-22,10.0
2020-04-23,9.0
2020-04-24,10.0
2020-04-25,8.0
2020-04-26,11.0
2020-04-27,9.0
2020-04-28,16.0
2020-04-29,9.0
2020-04-30,15.0
2020-05-01,21.0
2020-05-02,10.0
2020-05-03,16.0
2020-05-04,18.0
2020-05-05,20.0
2020-05-06,19.0
2020-05-07,10.0
2020-05-08,21.0
2020-05-09,17.0
2020-05-10,18.0
2020-05-11,16.0
2020-05-12,14.0
2020-05-13,16.0
2020-05-14,16.0
2020-05-15,21.0
2020-05-16,16.0
2020-05-17,12.0
2020-05-18,18.0
2020-05-19,21.0
2020-05-20,17.0
2020-05-21,22.0
2020-05-22,30.0
2020-05-23,23.0
2020-05-24,22.0
2020-05-25,23.0
2020-05-26,26.0
2020-05-27,27.0
2020-05-28,19.0
2020-05-29,31.0
2020-05-30,37.0
2020-05-31,49.0
2020-06-01,30.0
2020-06-02,40.0
2020-06-03,36.0
2020-06-04,42.0
2020-06-05,58.0
2020-06-06,60.0
2020-06-07,54.0
2020-06-08,49.0
2020-06-09,64.0
2020-06-10,61.0
2020-06-11,55.0
2020-06-12,57.0
2020-06-13,47.0
2020-06-14,75.0
2020-06-15,59.0
2020-06-16,75.0
2020-06-17,63.0
2020-06-18,86.0
2020-06-19,95.0
2020-06-20,81.0
2020-06-21,111.0
2020-06-22,73.0
2020-06-23,94.0
