2020-03-14,1.0
2020-03-15,1.0
2020-03-16,5.0
2020-03-17,7.0
2020-03-18,8.0
2020-03-19,8.0
2020-03-20,17.0
2020-03-21,17.0
2020-03-22,19.0
2020-03-23,36.0
2020-03-24,40.0
2020-03-25,41.0
2020-03-26,50.0
2020-03-27,54.0
2020-03-28,60.0
2020-03-29,70.0
2020-03-30,70.0
2020-03-31,75.0
2020-04-01,82.0
2020-04-02,84.0
2020-04-03,89.0
2020-04-04,102.0
2020-04-05,104.0
2020-04-06,105.0
2020-04-07,105.0
2020-04-08,110.0
2020-04-09,110.0
2020-04-10,118.0
2020-04-11,120.0
2020-04-12,126.0
2020-04-13,127.0
2020-04-14,134.0
2020-04-15,136.0
2020-04-16,138.0
2020-04-17,143.0
2020-04-18,144.0
2020-04-19,147.0
2020-04-20,147.0
2020-04-21,150.0
2020-04-22,153.0
2020-04-23,154.0
2020-04-24,176.0
2020-04-25,183.0
2020-04-26,191.0
2020-04-27,207.0
2020-04-28,212.0
2020-04-29,225.0
2020-04-30,243.0
2020-05-01,249.0
2020-05-02,255.0
2020-05-03,259.0
2020-05-04,261.0
2020-05-05,261.0
2020-05-06,268.0
2020-05-07,271.0
2020-05-08,273.0
2020-05-09,280.0
2020-05-10,284.0
2020-05-11,285.0
2020-05-12,286.0
2020-05-13,287.0
2020-05-14,287.0
2020-05-15,287.0
2020-05-16,289.0
2020-05-17,292.0
2020-05-18,297.0
2020-05-19,308.0
2020-05-20,314.0
2020-05-21,320.0
2020-05-22,321.0
2020-05-23,325.0
2020-05-24,327.0
2020-05-25,336.0
2020-05-26,339.0
2020-05-27,346.0
2020-05-28,349.0
2020-05-29,355.0
2020-05-30,359.0
2020-05-31,370.0
2020-06-01,377.0
2020-06-02,384.0
2020-06-03,397.0
2020-06-04,410.0
2020-06-05,420.0
2020-06-06,431.0
2020-06-07,439.0
2020-06-08,451.0
2020-06-09,463.0
2020-06-10,476.0
2020-06-11,494.0
2020-06-12,510.0
2020-06-13,541.0
2020-06-14,582.0
2020-06-15,612.0
2020-06-16,636.0
2020-06-17,639.0
2020-06-18,646.0
2020-06-19,661.0
2020-06-20,702.0
2020-06-21,728.0
2020-06-22,787.0
2020-06-23,798.0
2020-06-24,830.0
2020-06-25,850.0
2020-06-26,858.0
2020-06-27,878.0
2020-06-28,900.0
2020-06-29,1001.0
2020-06-30,1025.0
2020-07-01,1042.0
2020-07-02,1063.0
2020-07-03,1081.0
2020-07-04,1092.0
2020-07-05,1105.0
2020-07-06,1113.0
2020-07-07,1172.0
2020-07-08,1194.0
2020-07-09,1210.0
2020-07-10,1252.0
2020-07-11,1299.0
2020-07-12,1337.0
2020-07-13,1378.0
