2021-01-21,3299.464
2021-01-22,3299.464
2021-01-23,3299.464
2021-01-24,3299.464
2021-01-25,3299.464
2021-01-26,3299.464
2021-01-27,3299.464
2021-01-28,3299.464
2021-01-29,3299.464
2021-01-30,3299.464
2021-01-31,3299.464
2021-02-01,3299.464
2021-02-02,3299.464
2021-02-03,3299.464
2021-02-04,3299.464
2021-02-05,3299.464
2021-02-06,3299.464
2021-02-07,3299.464
2021-02-08,3299.464
2021-02-09,3299.464
2021-02-10,3299.464
2021-02-11,3299.464
2021-02-12,3299.464
2021-02-13,3299.464
2021-02-14,3299.464
2021-02-15,3299.464
2021-02-16,3299.464
2021-02-17,3299.464
2021-02-18,3299.464
2021-02-19,3299.464
2021-02-20,3299.464
2021-02-21,3299.464
2021-02-22,3299.464
2021-02-23,3299.464
2021-02-24,3299.464
2021-02-25,3299.464
2021-02-26,3299.464
