2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.001
2020-01-14,0.001
2020-01-15,0.001
2020-01-16,0.001
2020-01-17,0.001
2020-01-18,0.001
2020-01-19,0.001
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.001
2020-01-29,0.001
2020-01-30,0.001
2020-01-31,0.001
2020-02-01,0.001
2020-02-02,0.002
2020-02-03,0.002
2020-02-04,0.001
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.001
2020-02-11,0.001
2020-02-12,0.001
2020-02-13,0.001
2020-02-14,0.001
2020-02-15,0.001
2020-02-16,0.001
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.001
2020-02-21,0.001
2020-02-22,0.001
2020-02-23,0.001
2020-02-24,0.003
2020-02-25,0.003
2020-02-26,0.003
2020-02-27,0.006
2020-02-28,0.008
2020-02-29,0.009
2020-03-01,0.008
2020-03-02,0.008
2020-03-03,0.01
2020-03-04,0.011
2020-03-05,0.01
2020-03-06,0.008
2020-03-07,0.008
2020-03-08,0.011
2020-03-09,0.011
2020-03-10,0.018
2020-03-11,0.037
2020-03-12,0.05
2020-03-13,0.077
2020-03-14,0.096
2020-03-15,0.106
2020-03-16,0.131
2020-03-17,0.14
2020-03-18,0.144
2020-03-19,0.158
2020-03-20,0.163
2020-03-21,0.159
2020-03-22,0.16
2020-03-23,0.154
2020-03-24,0.158
2020-03-25,0.152
2020-03-26,0.149
2020-03-27,0.149
2020-03-28,0.155
2020-03-29,0.16
2020-03-30,0.168
2020-03-31,0.174
2020-04-01,0.19
2020-04-02,0.196
2020-04-03,0.205
2020-04-04,0.204
2020-04-05,0.212
2020-04-06,0.23
2020-04-07,0.237
2020-04-08,0.241
2020-04-09,0.251
2020-04-10,0.261
2020-04-11,0.271
2020-04-12,0.279
2020-04-13,0.285
2020-04-14,0.295
2020-04-15,0.308
2020-04-16,0.32
2020-04-17,0.331
2020-04-18,0.346
2020-04-19,0.355
2020-04-20,0.369
2020-04-21,0.388
2020-04-22,0.4
2020-04-23,0.407
2020-04-24,0.415
2020-04-25,0.417
2020-04-26,0.422
2020-04-27,0.426
2020-04-28,0.425
2020-04-29,0.418
2020-04-30,0.407
2020-05-01,0.413
2020-05-02,0.415
2020-05-03,0.412
2020-05-04,0.413
