2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,9.26
2020-03-14,20.37
2020-03-15,20.37
2020-03-16,31.48
2020-03-17,31.48
2020-03-18,31.48
2020-03-19,31.48
2020-03-20,31.48
2020-03-21,31.48
2020-03-22,31.48
2020-03-23,31.48
2020-03-24,31.48
2020-03-25,48.15
2020-03-26,48.15
2020-03-27,48.15
2020-03-28,48.15
2020-03-29,48.15
2020-03-30,48.15
2020-03-31,48.15
2020-04-01,48.15
2020-04-02,48.15
2020-04-03,48.15
2020-04-04,48.15
2020-04-05,48.15
2020-04-06,48.15
2020-04-07,48.15
2020-04-08,56.48
2020-04-09,56.48
2020-04-10,56.48
2020-04-11,56.48
2020-04-12,56.48
2020-04-13,56.48
2020-04-14,56.48
2020-04-15,56.48
2020-04-16,56.48
2020-04-17,56.48
2020-04-18,56.48
2020-04-19,56.48
2020-04-20,52.78
2020-04-21,52.78
2020-04-22,52.78
2020-04-23,52.78
2020-04-24,52.78
2020-04-25,52.78
2020-04-26,52.78
2020-04-27,52.78
2020-04-28,52.78
2020-04-29,52.78
2020-04-30,52.78
2020-05-01,52.78
2020-05-02,52.78
2020-05-03,52.78
2020-05-04,52.78
2020-05-05,52.78
2020-05-06,52.78
2020-05-07,52.78
2020-05-08,52.78
2020-05-09,52.78
2020-05-10,52.78
2020-05-11,50.0
2020-05-12,50.0
2020-05-13,50.0
2020-05-14,50.0
2020-05-15,50.0
2020-05-16,50.0
2020-05-17,50.0
2020-05-18,50.0
2020-05-19,50.0
2020-05-20,50.0
2020-05-21,50.0
2020-05-22,50.0
2020-05-23,50.0
2020-05-24,50.0
2020-05-25,50.0
2020-05-26,50.0
2020-05-27,50.0
2020-05-28,50.0
2020-05-29,50.0
2020-05-30,50.0
2020-05-31,50.0
2020-06-01,50.0
2020-06-02,42.59
2020-06-03,42.59
2020-06-04,42.59
2020-06-05,42.59
2020-06-06,42.59
2020-06-07,42.59
2020-06-08,42.59
2020-06-09,42.59
2020-06-10,42.59
2020-06-11,42.59
2020-06-12,42.59
2020-06-13,42.59
2020-06-14,42.59
2020-06-15,42.59
2020-06-16,42.59
2020-06-17,42.59
2020-06-18,42.59
2020-06-19,42.59
2020-06-20,42.59
2020-06-21,42.59
2020-06-22,42.59
2020-06-23,42.59
2020-06-24,42.59
2020-06-25,42.59
2020-06-26,42.59
2020-06-27,42.59
2020-06-28,42.59
2020-06-29,42.59
2020-06-30,42.59
2020-07-01,31.48
2020-07-02,31.48
2020-07-03,31.48
2020-07-04,31.48
2020-07-05,31.48
2020-07-06,31.48
2020-07-07,41.67
2020-07-08,41.67
2020-07-09,41.67
2020-07-10,41.67
2020-07-11,41.67
2020-07-12,41.67
2020-07-13,41.67
2020-07-14,41.67
2020-07-15,41.67
2020-07-16,41.67
2020-07-17,41.67
2020-07-18,41.67
2020-07-19,41.67
2020-07-20,41.67
2020-07-21,36.11
2020-07-22,41.67
2020-07-23,41.67
2020-07-24,41.67
2020-07-25,41.67
2020-07-26,41.67
2020-07-27,41.67
2020-07-28,41.67
2020-07-29,41.67
2020-07-30,41.67
2020-07-31,41.67
2020-08-01,41.67
2020-08-02,41.67
2020-08-03,41.67
2020-08-04,41.67
2020-08-05,41.67
2020-08-06,41.67
2020-08-07,41.67
2020-08-08,41.67
2020-08-09,41.67
2020-08-10,41.67
2020-08-11,41.67
2020-08-12,41.67
2020-08-13,41.67
2020-08-14,41.67
2020-08-15,41.67
2020-08-16,41.67
2020-08-17,41.67
2020-08-18,41.67
2020-08-19,41.67
2020-08-20,41.67
2020-08-21,41.67
2020-08-22,41.67
2020-08-23,41.67
2020-08-24,41.67
2020-08-25,41.67
2020-08-26,41.67
2020-08-27,41.67
2020-08-28,41.67
2020-08-29,41.67
2020-08-30,41.67
2020-08-31,41.67
2020-09-01,41.67
2020-09-02,41.67
2020-09-03,41.67
2020-09-04,41.67
2020-09-05,41.67
2020-09-06,41.67
2020-09-07,41.67
2020-09-08,41.67
2020-09-09,41.67
2020-09-10,41.67
2020-09-11,41.67
2020-09-12,41.67
2020-09-13,41.67
2020-09-14,41.67
2020-09-15,41.67
2020-09-16,41.67
2020-09-17,41.67
2020-09-18,41.67
2020-09-19,41.67
2020-09-20,41.67
2020-09-21,50.0
2020-09-22,50.0
2020-09-23,50.0
2020-09-24,50.0
2020-09-25,50.0
2020-09-26,50.0
2020-09-27,50.0
2020-09-28,50.0
2020-09-29,50.0
2020-09-30,50.0
2020-10-01,50.0
2020-10-02,50.0
2020-10-03,50.0
2020-10-04,50.0
2020-10-05,50.0
2020-10-06,50.0
2020-10-07,50.0
2020-10-08,50.0
2020-10-09,50.0
2020-10-10,50.0
2020-10-11,50.0
2020-10-12,50.0
2020-10-13,50.0
2020-10-14,50.0
2020-10-15,50.0
2020-10-16,53.7
2020-10-17,53.7
2020-10-18,53.7
2020-10-19,53.7
2020-10-20,53.7
2020-10-21,53.7
2020-10-22,59.26
2020-10-23,59.26
2020-10-24,59.26
2020-10-25,59.26
2020-10-26,59.26
2020-10-27,59.26
2020-10-28,59.26
2020-10-29,59.26
2020-10-30,59.26
2020-10-31,59.26
2020-11-01,59.26
2020-11-02,59.26
2020-11-03,59.26
2020-11-04,59.26
2020-11-05,59.26
2020-11-06,59.26
2020-11-07,59.26
2020-11-08,59.26
2020-11-09,59.26
2020-11-10,59.26
2020-11-11,59.26
2020-11-12,59.26
2020-11-13,59.26
2020-11-14,59.26
2020-11-15,59.26
2020-11-16,59.26
2020-11-17,59.26
2020-11-18,59.26
2020-11-19,59.26
2020-11-20,59.26
2020-11-21,59.26
2020-11-22,59.26
2020-11-23,59.26
2020-11-24,59.26
2020-11-25,55.56
2020-11-26,55.56
2020-11-27,55.56
2020-11-28,55.56
2020-11-29,55.56
2020-11-30,55.56
2020-12-01,55.56
2020-12-02,55.56
2020-12-03,55.56
2020-12-04,55.56
2020-12-05,55.56
2020-12-06,55.56
2020-12-07,55.56
2020-12-08,55.56
2020-12-09,52.78
2020-12-10,52.78
2020-12-11,52.78
2020-12-12,52.78
2020-12-13,52.78
2020-12-14,52.78
2020-12-15,52.78
2020-12-16,52.78
2020-12-17,52.78
2020-12-18,52.78
2020-12-19,52.78
2020-12-20,52.78
2020-12-21,52.78
2020-12-22,51.39
2020-12-23,51.39
2020-12-24,51.39
2020-12-25,51.39
2020-12-26,51.39
2020-12-27,51.39
2020-12-28,51.39
2020-12-29,51.39
2020-12-30,51.39
2020-12-31,51.39
2021-01-01,51.39
2021-01-02,51.39
2021-01-03,51.39
2021-01-04,51.39
