2020-03-13,4.0
2020-03-14,2.0
2020-03-15,3.0
2020-03-16,1.0
2020-03-17,23.0
2020-03-18,2.0
2020-03-19,9.0
2020-03-20,5.0
2020-03-21,4.0
2020-03-22,8.0
2020-03-23,1.0
2020-03-24,10.0
2020-03-25,9.0
2020-03-26,30.0
2020-03-27,39.0
2020-03-28,78.0
2020-03-29,56.0
2020-03-30,18.0
2020-03-31,41.0
2020-04-01,37.0
2020-04-02,55.0
2020-04-03,29.0
2020-04-04,67.0
2020-04-05,53.0
2020-04-06,78.0
2020-04-07,35.0
2020-04-08,30.0
2020-04-09,54.0
2020-04-10,31.0
2020-04-11,53.0
2020-04-12,86.0
2020-04-13,140.0
2020-04-14,141.0
2020-04-15,63.0
2020-04-16,107.0
2020-04-17,144.0
2020-04-18,69.0
2020-04-19,61.0
2020-04-20,176.0
2020-04-21,143.0
2020-04-22,140.0
2020-04-23,154.0
2020-04-24,193.0
2020-04-25,119.0
2020-04-26,116.0
2020-04-27,118.0
2020-04-28,192.0
2020-04-29,111.0
2020-04-30,264.0
2020-05-01,195.0
2020-05-02,260.0
2020-05-03,63.0
2020-05-04,129.0
2020-05-05,156.0
2020-05-06,217.0
2020-05-07,156.0
2020-05-08,256.0
2020-05-09,141.0
2020-05-10,115.0
2020-05-11,117.0
2020-05-12,72.0
2020-05-13,138.0
2020-05-14,154.0
2020-05-15,118.0
2020-05-16,161.0
2020-05-17,307.0
2020-05-18,594.0
2020-05-19,0.0
2020-05-20,218.0
2020-05-21,265.0
2020-05-22,685.0
2020-05-23,0.0
2020-05-24,612.0
2020-05-25,438.0
2020-05-26,0.0
2020-05-27,335.0
2020-05-28,272.0
2020-05-29,356.0
2020-05-30,450.0
2020-05-31,476.0
2020-06-01,450.0
2020-06-02,263.0
2020-06-03,496.0
2020-06-04,0.0
2020-06-05,245.0
2020-06-06,199.0
2020-06-07,183.0
2020-06-08,165.0
2020-06-09,215.0
2020-06-10,245.0
2020-06-11,553.0
2020-06-12,0.0
2020-06-13,366.0
2020-06-14,258.0
2020-06-15,696.0
2020-06-16,350.0
2020-06-17,335.0
2020-06-18,0.0
2020-06-19,902.0
2020-06-20,446.0
2020-06-21,507.0
2020-06-22,499.0
2020-06-23,534.0
2020-06-24,520.0
2020-06-25,465.0
2020-06-26,569.0
2020-06-27,0.0
2020-06-28,1008.0
2020-06-29,492.0
2020-06-30,489.0
2020-07-01,18757.0
2020-07-02,1509.0
2020-07-03,3145.0
2020-07-04,1452.0
2020-07-05,1403.0
2020-07-06,1109.0
2020-07-07,1376.0
2020-07-08,0.0
2020-07-09,3688.0
2020-07-10,1708.0
2020-07-11,1798.0
2020-07-12,0.0
2020-07-13,3502.0
2020-07-14,1759.0
2020-07-15,1674.0
2020-07-16,1707.0
2020-07-17,1808.0
2020-07-18,0.0
2020-07-19,3135.0
2020-07-20,1630.0
2020-07-21,1685.0
2020-07-22,0.0
2020-07-23,3333.0
2020-07-24,1740.0
2020-07-25,1494.0
2020-07-26,1402.0
2020-07-27,1526.0
2020-07-28,1544.0
2020-07-29,1472.0
2020-07-30,1414.0
2020-07-31,1289.0
2020-08-01,0.0
2020-08-02,6407.0
2020-08-03,1867.0
2020-08-04,1434.0
2020-08-05,2861.0
2020-08-06,2590.0
2020-08-07,2404.0
2020-08-08,2009.0
2020-08-09,1883.0
2020-08-10,900.0
