2020-03-14,1.0
2020-03-15,0.0
2020-03-16,4.0
2020-03-17,2.0
2020-03-18,1.0
2020-03-19,0.0
2020-03-20,9.0
2020-03-21,0.0
2020-03-22,2.0
2020-03-23,17.0
2020-03-24,4.0
2020-03-25,1.0
2020-03-26,9.0
2020-03-27,4.0
2020-03-28,6.0
2020-03-29,10.0
2020-03-30,0.0
2020-03-31,5.0
2020-04-01,7.0
2020-04-02,2.0
2020-04-03,5.0
2020-04-04,13.0
2020-04-05,2.0
2020-04-06,1.0
2020-04-07,0.0
2020-04-08,5.0
2020-04-09,0.0
2020-04-10,8.0
2020-04-11,2.0
2020-04-12,6.0
2020-04-13,1.0
2020-04-14,7.0
2020-04-15,2.0
2020-04-16,2.0
2020-04-17,5.0
2020-04-18,1.0
2020-04-19,3.0
2020-04-20,0.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,1.0
2020-04-24,22.0
2020-04-25,7.0
2020-04-26,8.0
2020-04-27,16.0
2020-04-28,5.0
2020-04-29,13.0
2020-04-30,18.0
2020-05-01,6.0
2020-05-02,6.0
2020-05-03,4.0
2020-05-04,2.0
2020-05-05,0.0
2020-05-06,7.0
2020-05-07,3.0
2020-05-08,2.0
2020-05-09,7.0
2020-05-10,4.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,2.0
2020-05-17,3.0
2020-05-18,5.0
2020-05-19,11.0
2020-05-20,6.0
2020-05-21,6.0
2020-05-22,1.0
2020-05-23,4.0
2020-05-24,2.0
2020-05-25,9.0
2020-05-26,3.0
2020-05-27,7.0
2020-05-28,3.0
2020-05-29,6.0
2020-05-30,4.0
2020-05-31,11.0
2020-06-01,7.0
2020-06-02,7.0
2020-06-03,13.0
2020-06-04,13.0
2020-06-05,10.0
2020-06-06,11.0
2020-06-07,8.0
2020-06-08,12.0
2020-06-09,12.0
2020-06-10,13.0
2020-06-11,18.0
2020-06-12,16.0
2020-06-13,31.0
2020-06-14,41.0
2020-06-15,30.0
