2020-03-19,1.0
2020-03-20,2.0
2020-03-21,2.0
2020-03-22,3.0
2020-03-23,4.0
2020-03-24,5.0
2020-03-25,6.0
2020-03-26,8.0
2020-03-27,12.0
2020-03-28,16.0
2020-03-29,20.0
2020-03-30,28.0
2020-03-31,29.0
2020-04-01,37.0
2020-04-02,50.0
2020-04-03,60.0
2020-04-04,79.0
2020-04-05,94.0
2020-04-06,125.0
2020-04-07,141.0
2020-04-08,174.0
2020-04-09,194.0
2020-04-10,233.0
2020-04-11,273.0
2020-04-12,296.0
2020-04-13,332.0
2020-04-14,406.0
2020-04-15,449.0
2020-04-16,486.0
2020-04-17,546.0
2020-04-18,650.0
2020-04-19,686.0
2020-04-20,712.0
2020-04-21,857.0
2020-04-22,970.0
2020-04-23,1069.0
2020-04-24,1221.0
2020-04-25,1305.0
2020-04-26,1351.0
2020-04-27,1434.0
2020-04-28,1569.0
2020-04-29,1732.0
2020-04-30,1859.0
2020-05-01,1972.0
2020-05-02,2061.0
2020-05-03,2154.0
2020-05-04,2271.0
2020-05-05,2507.0
2020-05-06,2704.0
2020-05-07,2961.0
2020-05-08,3160.0
2020-05-09,3353.0
2020-05-10,3465.0
2020-05-11,3573.0
2020-05-12,3926.0
2020-05-13,4220.0
2020-05-14,4477.0
2020-05-15,4767.0
2020-05-16,5045.0
2020-05-17,5177.0
2020-05-18,5332.0
2020-05-19,5666.0
2020-05-20,6090.0
2020-05-21,6510.0
2020-05-22,6989.0
2020-05-23,7179.0
2020-05-24,7394.0
2020-05-25,7633.0
2020-05-26,8134.0
2020-05-27,8597.0
2020-05-28,9044.0
2020-05-29,9415.0
2020-05-30,9779.0
2020-05-31,9930.0
2020-06-01,10167.0
2020-06-02,10637.0
2020-06-03,11729.0
2020-06-04,12545.0
2020-06-05,13170.0
2020-06-06,13511.0
2020-06-07,13699.0
2020-06-08,14053.0
2020-06-09,14649.0
2020-06-10,15357.0
2020-06-11,15944.0
2020-06-12,16448.0
2020-06-13,16872.0
2020-06-14,17141.0
2020-06-15,17580.0
2020-06-16,18310.0
2020-06-17,19080.0
2020-06-18,19747.0
2020-06-19,20394.0
2020-06-20,20781.0
2020-06-21,21825.0
2020-06-22,22584.0
2020-06-23,23377.0
2020-06-24,24324.0
2020-06-25,25060.0
2020-06-26,25779.0
2020-06-27,26381.0
2020-06-28,26648.0
2020-06-29,27121.0
2020-06-30,27769.0
2020-07-01,28510.0
2020-07-02,29189.0
2020-07-03,29843.0
2020-07-04,30366.0
2020-07-05,30639.0
2020-07-06,31119.0
2020-07-07,32014.0
2020-07-08,32796.0
2020-07-09,33526.0
2020-07-10,34191.0
2020-07-11,34730.0
2020-07-12,35006.0
2020-07-13,35491.0
2020-07-14,36327.0
2020-07-15,36906.0
2020-07-16,37574.0
2020-07-17,38310.0
2020-07-18,38888.0
2020-07-19,39184.0
2020-07-20,39485.0
2020-07-21,40400.0
2020-07-22,41190.0
2020-07-23,41908.0
2020-07-24,42645.0
2020-07-25,43374.0
2020-07-26,43680.0
2020-07-27,44022.0
2020-07-28,44876.0
2020-07-29,45361.0
2020-07-30,46000.0
2020-07-31,46688.0
2020-08-01,47472.0
2020-08-02,47746.0
2020-08-03,48012.0
2020-08-04,48869.0
2020-08-05,49698.0
2020-08-06,50517.0
2020-08-07,51311.0
2020-08-08,52006.0
2020-08-09,52298.0
2020-08-10,53003.0
2020-08-11,53929.0
2020-08-12,54666.0
2020-08-13,55293.0
2020-08-14,55908.0
2020-08-15,56543.0
2020-08-16,56757.0
2020-08-17,57023.0
2020-08-18,57774.0
2020-08-19,58481.0
2020-08-20,59106.0
2020-08-21,59610.0
2020-08-22,60254.0
2020-08-23,60480.0
2020-08-24,60800.0
2020-08-25,61450.0
2020-08-26,62076.0
2020-08-27,62594.0
2020-08-28,63146.0
2020-08-29,63819.0
2020-08-30,64158.0
2020-08-31,64414.0
2020-09-01,65241.0
2020-09-02,65816.0
2020-09-03,66329.0
2020-09-04,66851.0
2020-09-05,67326.0
2020-09-06,67558.0
2020-09-07,67781.0
2020-09-08,68484.0
2020-09-09,69049.0
2020-09-10,69649.0
2020-09-11,70183.0
2020-09-12,70604.0
2020-09-13,70821.0
2020-09-14,71049.0
2020-09-15,71678.0
2020-09-16,71978.0
2020-09-17,72179.0
2020-09-18,72803.0
2020-09-19,73258.0
2020-09-20,73493.0
2020-09-21,73697.0
2020-09-22,74348.0
2020-09-23,74949.0
2020-09-24,75439.0
2020-09-25,75844.0
2020-09-26,76243.0
2020-09-27,76430.0
2020-09-28,76603.0
2020-09-29,77163.0
2020-09-30,77646.0
2020-10-01,78078.0
2020-10-02,78492.0
2020-10-03,78880.0
2020-10-04,79088.0
2020-10-05,81877.0
2020-10-06,82348.0
2020-10-07,82726.0
2020-10-08,83096.0
2020-10-09,83497.0
2020-10-10,83642.0
2020-10-11,83781.0
2020-10-12,83945.0
2020-10-13,84420.0
2020-10-14,84898.0
2020-10-15,85285.0
2020-10-16,85704.0
2020-10-17,86059.0
2020-10-18,86167.0
2020-10-19,86338.0
2020-10-20,86893.0
2020-10-21,87415.0
2020-10-22,87415.0
2020-10-23,88312.0
2020-10-24,88743.0
2020-10-25,88924.0
2020-10-26,89171.0
2020-10-27,89814.0
2020-10-28,90309.0
2020-10-29,90773.0
2020-10-30,91289.0
2020-10-31,91753.0
2020-11-01,91895.0
2020-11-02,92100.0
2020-11-03,92593.0
2020-11-04,93228.0
2020-11-05,93772.0
2020-11-06,94323.0
2020-11-07,94808.0
2020-11-08,95027.0
2020-11-09,95225.0
2020-11-10,95842.0
2020-11-11,96430.0
2020-11-12,97056.0
2020-11-13,97624.0
2020-11-14,98259.0
2020-11-15,98542.0
2020-11-16,98861.0
2020-11-17,99026.0
2020-11-18,99528.0
2020-11-19,100104.0
2020-11-20,100823.0
2020-11-21,101373.0
2020-11-22,101676.0
2020-11-23,101926.0
2020-11-24,102739.0
2020-11-25,103597.0
2020-11-26,104242.0
2020-11-27,104242.0
2020-11-28,105459.0
2020-11-29,105655.0
2020-11-30,105940.0
2020-12-01,106765.0
2020-12-02,107565.0
2020-12-03,108173.0
2020-12-04,108863.0
2020-12-05,109456.0
2020-12-06,109717.0
2020-12-07,110074.0
2020-12-08,110874.0
2020-12-09,111655.0
2020-12-10,112326.0
2020-12-11,113019.0
2020-12-12,113704.0
2020-12-13,113953.0
2020-12-14,114298.0
2020-12-15,115099.0
2020-12-16,115769.0
2020-12-17,116487.0
2020-12-18,117249.0
2020-12-19,117876.0
2020-12-20,118202.0
2020-12-21,118598.0
2020-12-22,119495.0
2020-12-23,120311.0
2020-12-24,121172.0
2020-12-25,121837.0
2020-12-26,122026.0
2020-12-27,122426.0
2020-12-28,122855.0
2020-12-29,123845.0
2020-12-30,124897.0
2020-12-31,125807.0
2021-01-01,126507.0
2021-01-02,126851.0
2021-01-03,127213.0
2021-01-04,127757.0
2021-01-05,128822.0
2021-01-06,129987.0
2021-01-07,131031.0
2021-01-08,132069.0
