2020-03-17,1.0
2020-03-18,2.0
2020-03-19,3.0
2020-03-20,5.0
2020-03-21,4.0
2020-03-22,10.0
2020-03-23,9.0
2020-03-24,12.0
2020-03-25,13.0
2020-03-26,18.0
2020-03-27,15.0
2020-03-28,19.0
2020-03-29,25.0
2020-03-30,23.0
2020-03-31,42.0
2020-04-01,39.0
2020-04-02,84.0
2020-04-03,35.0
2020-04-04,86.0
2020-04-05,41.0
2020-04-06,78.0
2020-04-07,122.0
2020-04-08,133.0
2020-04-09,131.0
2020-04-10,107.0
2020-04-11,67.0
2020-04-12,99.0
2020-04-13,105.0
2020-04-14,204.0
2020-04-15,204.0
2020-04-16,188.0
2020-04-17,217.0
2020-04-18,213.0
2020-04-19,108.0
2020-04-20,125.0
2020-04-21,154.0
2020-04-22,165.0
2020-04-23,425.0
2020-04-24,373.0
2020-04-25,353.0
2020-04-26,229.0
2020-04-27,317.0
2020-04-28,480.0
2020-04-29,430.0
2020-04-30,493.0
2020-05-01,406.0
2020-05-02,349.0
2020-05-03,290.0
2020-05-04,316.0
2020-05-05,571.0
2020-05-06,650.0
2020-05-07,602.0
2020-05-08,827.0
2020-05-09,639.0
2020-05-10,467.0
2020-05-11,530.0
2020-05-12,808.0
2020-05-13,779.0
2020-05-14,759.0
2020-05-15,963.0
2020-05-16,700.0
2020-05-17,456.0
2020-05-18,735.0
2020-05-19,1130.0
2020-05-20,876.0
2020-05-21,1188.0
2020-05-22,1001.0
2020-05-23,965.0
2020-05-24,653.0
2020-05-25,807.0
2020-05-26,1039.0
2020-05-27,1086.0
2020-05-28,1156.0
2020-05-29,1124.0
2020-05-30,956.0
2020-05-31,480.0
2020-06-01,623.0
2020-06-02,1262.0
2020-06-03,1349.0
2020-06-04,1473.0
2020-06-05,1005.0
2020-06-06,904.0
2020-06-07,525.0
2020-06-08,679.0
2020-06-09,1272.0
2020-06-10,1274.0
2020-06-11,1239.0
2020-06-12,909.0
2020-06-13,892.0
2020-06-14,612.0
2020-06-15,627.0
2020-06-16,1282.0
2020-06-17,1269.0
2020-06-18,1238.0
2020-06-19,1206.0
2020-06-20,1022.0
2020-06-21,615.0
2020-06-22,680.0
2020-06-23,1374.0
2020-06-24,1185.0
2020-06-25,1141.0
2020-06-26,990.0
2020-06-27,1109.0
2020-06-28,552.0
2020-06-29,692.0
2020-06-30,1280.0
2020-07-01,1038.0
2020-07-02,1252.0
2020-07-03,1290.0
2020-07-04,1091.0
2020-07-05,602.0
2020-07-06,620.0
2020-07-07,1254.0
2020-07-08,1223.0
2020-07-09,1220.0
2020-07-10,1214.0
2020-07-11,1071.0
2020-07-12,631.0
2020-07-13,733.0
2020-07-14,1300.0
2020-07-15,1233.0
2020-07-16,1322.0
2020-07-17,1163.0
2020-07-18,921.0
2020-07-19,716.0
2020-07-20,632.0
2020-07-21,1367.0
2020-07-22,1284.0
2020-07-23,1311.0
2020-07-24,1156.0
2020-07-25,1211.0
2020-07-26,555.0
2020-07-27,614.0
2020-07-28,921.0
2020-07-29,1595.0
2020-07-30,1129.0
2020-07-31,1212.0
2020-08-01,1088.0
2020-08-02,541.0
2020-08-03,561.0
2020-08-04,1154.0
2020-08-05,1437.0
2020-08-06,1237.0
2020-08-07,1079.0
2020-08-08,905.0
2020-08-09,572.0
2020-08-10,703.0
2020-08-11,1274.0
2020-08-12,1175.0
2020-08-13,1262.0
2020-08-14,1060.0
2020-08-15,709.0
2020-08-16,620.0
2020-08-17,684.0
2020-08-18,1352.0
2020-08-19,1212.0
2020-08-20,1204.0
2020-08-21,1054.0
2020-08-22,892.0
2020-08-23,494.0
2020-08-24,565.0
2020-08-25,1271.0
2020-08-26,1085.0
2020-08-27,984.0
2020-08-28,855.0
2020-08-29,758.0
2020-08-30,566.0
2020-08-31,553.0
2020-09-01,1215.0
2020-09-02,1184.0
2020-09-03,834.0
2020-09-04,888.0
2020-09-05,701.0
2020-09-06,447.0
2020-09-07,310.0
2020-09-08,504.0
2020-09-09,1075.0
2020-09-10,983.0
2020-09-11,874.0
2020-09-12,814.0
2020-09-13,415.0
2020-09-14,381.0
2020-09-15,1113.0
2020-09-16,987.0
2020-09-17,829.0
2020-09-18,858.0
2020-09-19,739.0
2020-09-20,363.0
2020-09-21,377.0
2020-09-22,833.0
2020-09-23,0.0
2020-09-24,1703.0
2020-09-25,729.0
2020-09-26,869.0
2020-09-27,335.0
2020-09-28,317.0
2020-09-29,863.0
2020-09-30,1031.0
2020-10-01,728.0
2020-10-02,0.0
2020-10-03,1307.0
2020-10-04,365.0
2020-10-05,323.0
2020-10-06,819.0
2020-10-07,734.0
2020-10-08,729.0
2020-10-09,682.0
2020-10-10,559.0
2020-10-11,290.0
2020-10-12,201.0
2020-10-13,309.0
2020-10-14,749.0
2020-10-15,713.0
2020-10-16,754.0
2020-10-17,461.0
2020-10-18,0.0
2020-10-19,501.0
2020-10-20,661.0
2020-10-21,566.0
2020-10-22,497.0
2020-10-23,571.0
2020-10-24,432.0
2020-10-25,231.0
2020-10-26,263.0
2020-10-27,549.0
2020-10-28,510.0
2020-10-29,513.0
2020-10-30,508.0
2020-10-31,407.0
2020-11-01,190.0
2020-11-02,179.0
2020-11-03,243.0
2020-11-04,610.0
2020-11-05,0.0
2020-11-06,909.0
2020-11-07,254.0
2020-11-08,128.0
2020-11-09,231.0
2020-11-10,174.0
2020-11-11,566.0
2020-11-12,913.0
2020-11-13,456.0
2020-11-14,921.0
2020-11-15,140.0
2020-11-16,216.0
2020-11-17,685.0
2020-11-18,756.0
2020-11-19,606.0
2020-11-20,552.0
2020-11-21,376.0
2020-11-22,194.0
2020-11-23,302.0
2020-11-24,630.0
2020-11-25,654.0
2020-11-26,691.0
2020-11-27,514.0
2020-11-28,587.0
2020-11-29,272.0
2020-11-30,287.0
2020-12-01,697.0
2020-12-02,698.0
2020-12-03,755.0
2020-12-04,694.0
2020-12-05,664.0
2020-12-06,313.0
2020-12-07,376.0
2020-12-08,842.0
2020-12-09,836.0
2020-12-10,770.0
2020-12-11,672.0
2020-12-12,686.0
2020-12-13,279.0
2020-12-14,433.0
2020-12-15,964.0
2020-12-16,936.0
2020-12-17,1092.0
2020-12-18,823.0
2020-12-19,706.0
2020-12-20,408.0
2020-12-21,527.0
2020-12-22,968.0
2020-12-23,961.0
2020-12-24,762.0
2020-12-25,506.0
2020-12-26,307.0
2020-12-27,344.0
2020-12-28,431.0
2020-12-29,1111.0
2020-12-30,1194.0
2020-12-31,1074.0
2021-01-01,462.0
2021-01-02,314.0
2021-01-03,293.0
2021-01-04,543.0
2021-01-05,1171.0
2021-01-06,1242.0
2021-01-07,1524.0
2021-01-08,962.0
