2021-01-12,479.0
2021-01-13,699.0
2021-01-14,773.0
2021-01-15,809.0
2021-01-16,831.0
2021-01-17,846.0
2021-01-18,857.0
2021-01-19,920.0
2021-01-20,920.0
2021-01-21,920.0
2021-01-22,920.0
2021-01-23,1047.0
2021-01-24,1175.0
2021-01-25,1303.0
2021-01-26,1431.0
2021-01-27,1558.0
2021-01-28,1683.0
2021-01-29,1808.0
2021-01-30,1806.0
2021-01-31,1803.0
2021-02-01,1861.0
2021-02-02,1918.0
2021-02-03,1888.0
2021-02-04,1861.0
2021-02-05,1833.0
2021-02-06,1806.0
2021-02-07,1778.0
2021-02-08,1690.0
2021-02-09,1602.0
2021-02-10,1602.0
2021-02-11,1691.0
2021-02-12,1780.0
2021-02-13,1868.0
2021-02-14,1956.0
2021-02-15,2045.0
2021-02-16,2134.0
2021-02-17,2222.0
2021-02-18,2222.0
2021-02-19,2271.0
2021-02-20,2320.0
2021-02-21,2369.0
2021-02-22,2418.0
2021-02-23,2467.0
2021-02-24,2516.0
2021-02-25,2565.0
2021-02-26,2565.0
2021-02-27,2565.0
2021-02-28,2565.0
2021-03-01,2565.0
