2020-03-31,2.26
2020-04-01,2.3
2020-04-02,2.37
2020-04-03,2.35
2020-04-04,2.33
2020-04-05,2.32
2020-04-06,2.3
2020-04-07,2.28
2020-04-08,2.26
2020-04-09,2.23
2020-04-10,2.17
2020-04-11,2.08
2020-04-12,2.01
2020-04-13,1.95
2020-04-14,1.89
2020-04-15,1.84
2020-04-16,1.79
2020-04-17,1.75
2020-04-18,1.7
2020-04-19,1.65
2020-04-20,1.61
2020-04-21,1.58
2020-04-22,1.56
2020-04-23,1.54
2020-04-24,1.51
2020-04-25,1.49
2020-04-26,1.46
2020-04-27,1.43
2020-04-28,1.4
2020-04-29,1.37
2020-04-30,1.34
2020-05-01,1.31
2020-05-02,1.28
2020-05-03,1.26
2020-05-04,1.23
2020-05-05,1.22
2020-05-06,1.2
2020-05-07,1.18
2020-05-08,1.17
2020-05-09,1.15
2020-05-10,1.14
2020-05-11,1.13
2020-05-12,1.12
2020-05-13,1.1
2020-05-14,1.09
2020-05-15,1.08
2020-05-16,1.07
2020-05-17,1.06
2020-05-18,1.06
2020-05-19,1.05
2020-05-20,1.04
2020-05-21,1.03
2020-05-22,1.03
2020-05-23,1.02
2020-05-24,1.01
2020-05-25,1.01
2020-05-26,1.0
2020-05-27,0.99
2020-05-28,0.99
2020-05-29,0.98
2020-05-30,0.97
2020-05-31,0.97
2020-06-01,0.96
2020-06-02,0.96
2020-06-03,0.95
2020-06-04,0.95
2020-06-05,0.94
2020-06-06,0.94
2020-06-07,0.93
2020-06-08,0.92
2020-06-09,0.91
2020-06-10,0.9
2020-06-11,0.89
2020-06-12,0.88
2020-06-13,0.88
2020-06-14,0.87
2020-06-15,0.86
2020-06-16,0.85
2020-06-17,0.84
2020-06-18,0.83
2020-06-19,0.82
2020-06-20,0.81
2020-06-21,0.8
2020-06-22,0.78
2020-06-23,0.77
2020-06-24,0.76
2020-06-25,0.75
2020-06-26,0.74
2020-06-27,0.73
2020-06-28,0.73
2020-06-29,0.72
2020-06-30,0.72
2020-07-01,0.72
2020-07-02,0.71
2020-07-03,0.71
2020-07-04,0.71
2020-07-05,0.71
2020-07-06,0.71
2020-07-07,0.71
2020-07-08,0.71
2020-07-09,0.71
2020-07-10,0.71
2020-07-11,0.71
2020-07-12,0.72
2020-07-13,0.73
2020-07-14,0.74
2020-07-15,0.75
2020-07-16,0.75
2020-07-17,0.76
2020-07-18,0.77
2020-07-19,0.78
2020-07-20,0.78
2020-07-21,0.8
2020-07-22,0.81
2020-07-23,0.82
2020-07-24,0.82
2020-07-25,0.83
2020-07-26,0.83
2020-07-27,0.84
2020-07-28,0.84
2020-07-29,0.85
2020-07-30,0.86
2020-07-31,0.86
2020-08-01,0.86
2020-08-02,0.87
2020-08-03,0.87
2020-08-04,0.87
2020-08-05,0.88
2020-08-06,0.89
2020-08-07,0.9
2020-08-08,0.91
2020-08-09,0.91
2020-08-10,0.92
2020-08-11,0.93
2020-08-12,0.94
2020-08-13,0.96
2020-08-14,0.98
2020-08-15,0.99
2020-08-16,1.03
2020-08-17,1.04
2020-08-18,1.06
2020-08-19,1.09
2020-08-20,1.11
2020-08-21,1.12
2020-08-22,1.14
2020-08-23,1.14
2020-08-24,1.14
2020-08-25,1.14
2020-08-26,1.15
2020-08-27,1.14
2020-08-28,1.13
2020-08-29,1.12
2020-08-30,1.11
2020-08-31,1.11
2020-09-01,1.1
2020-09-02,1.1
2020-09-03,1.1
2020-09-04,1.11
2020-09-05,1.11
2020-09-06,1.11
2020-09-07,1.11
2020-09-08,1.11
2020-09-09,1.11
2020-09-10,1.12
2020-09-11,1.12
2020-09-12,1.12
2020-09-13,1.13
2020-09-14,1.13
2020-09-15,1.14
2020-09-16,1.14
2020-09-17,1.15
2020-09-18,1.16
2020-09-19,1.16
2020-09-20,1.17
2020-09-21,1.18
2020-09-22,1.19
2020-09-23,1.2
2020-09-24,1.21
2020-09-25,1.22
2020-09-26,1.23
2020-09-27,1.24
2020-09-28,1.24
2020-09-29,1.24
2020-09-30,1.25
2020-10-01,1.25
2020-10-02,1.26
2020-10-03,1.26
2020-10-04,1.26
2020-10-05,1.28
2020-10-06,1.27
2020-10-07,1.26
2020-10-08,1.26
2020-10-09,1.26
2020-10-10,1.26
2020-10-11,1.28
2020-10-12,1.27
2020-10-13,1.26
2020-10-14,1.26
2020-10-15,1.25
2020-10-16,1.25
2020-10-17,1.24
2020-10-18,1.24
2020-10-19,1.23
2020-10-20,1.23
2020-10-21,1.23
2020-10-22,1.23
2020-10-23,1.23
2020-10-24,1.22
2020-10-25,1.22
2020-10-26,1.22
2020-10-27,1.21
2020-10-28,1.21
2020-10-29,1.2
2020-10-30,1.19
2020-10-31,1.18
2020-11-01,1.17
2020-11-02,1.17
2020-11-03,1.16
2020-11-04,1.15
2020-11-05,1.15
2020-11-06,1.15
2020-11-07,1.14
2020-11-08,1.14
2020-11-09,1.14
2020-11-10,1.14
2020-11-11,1.14
2020-11-12,1.15
2020-11-13,1.15
2020-11-14,1.15
2020-11-15,1.15
2020-11-16,1.15
2020-11-17,1.15
2020-11-18,1.15
2020-11-19,1.16
2020-11-20,1.15
2020-11-21,1.15
2020-11-22,1.15
2020-11-23,1.14
2020-11-24,1.14
2020-11-25,1.14
2020-11-26,1.13
2020-11-27,1.13
2020-11-28,1.13
2020-11-29,1.12
2020-11-30,1.12
2020-12-01,1.11
2020-12-02,1.11
2020-12-03,1.11
2020-12-04,1.11
2020-12-05,1.11
2020-12-06,1.1
2020-12-07,1.1
2020-12-08,1.09
2020-12-09,1.09
2020-12-10,1.09
2020-12-11,1.09
2020-12-12,1.08
2020-12-13,1.08
2020-12-14,1.07
2020-12-15,1.07
2020-12-16,1.07
2020-12-17,1.07
2020-12-18,1.07
