2020-03-19,1.0
2020-03-20,0.0
2020-03-21,2.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,2.0
2020-03-25,4.0
2020-03-26,4.0
2020-03-27,0.0
2020-03-28,6.0
2020-03-29,5.0
2020-03-30,6.0
2020-03-31,2.0
2020-04-01,0.0
2020-04-02,9.0
2020-04-03,5.0
2020-04-04,10.0
2020-04-05,6.0
2020-04-06,7.0
2020-04-07,9.0
2020-04-08,15.0
2020-04-09,10.0
2020-04-10,14.0
2020-04-11,1.0
2020-04-12,7.0
2020-04-13,12.0
2020-04-14,12.0
2020-04-15,10.0
2020-04-16,5.0
2020-04-17,13.0
2020-04-18,13.0
2020-04-19,11.0
2020-04-20,17.0
2020-04-21,7.0
2020-04-22,12.0
2020-04-23,13.0
2020-04-24,24.0
2020-04-25,0.0
2020-04-26,24.0
2020-04-27,25.0
2020-04-28,22.0
2020-04-29,32.0
2020-04-30,18.0
2020-05-01,29.0
2020-05-02,22.0
2020-05-03,44.0
2020-05-04,65.0
2020-05-05,32.0
2020-05-06,46.0
2020-05-07,62.0
2020-05-08,47.0
2020-05-09,42.0
2020-05-10,105.0
2020-05-11,69.0
2020-05-12,40.0
2020-05-13,39.0
2020-05-14,75.0
2020-05-15,98.0
2020-05-16,55.0
2020-05-17,73.0
2020-05-18,75.0
2020-05-19,85.0
2020-05-20,73.0
2020-05-21,69.0
2020-05-22,85.0
2020-05-23,94.0
2020-05-24,96.0
2020-05-25,68.0
2020-05-26,59.0
2020-05-27,67.0
2020-05-28,85.0
2020-05-29,84.0
2020-05-30,117.0
2020-05-31,122.0
2020-06-01,65.0
2020-06-02,71.0
2020-06-03,52.0
2020-06-04,76.0
2020-06-05,68.0
2020-06-06,85.0
2020-06-07,81.0
2020-06-08,89.0
2020-06-09,87.0
2020-06-10,83.0
2020-06-11,99.0
2020-06-12,108.0
2020-06-13,122.0
2020-06-14,117.0
2020-06-15,106.0
2020-06-16,115.0
2020-06-17,125.0
2020-06-18,134.0
2020-06-19,129.0
2020-06-20,146.0
2020-06-21,151.0
2020-06-22,182.0
2020-06-23,165.0
2020-06-24,177.0
2020-06-25,186.0
2020-06-26,181.0
2020-06-27,210.0
2020-06-28,207.0
2020-06-29,239.0
2020-06-30,265.0
2020-07-01,298.0
2020-07-02,264.0
2020-07-03,267.0
2020-07-04,240.0
2020-07-05,270.0
2020-07-06,250.0
2020-07-07,280.0
2020-07-08,259.0
2020-07-09,278.0
2020-07-10,298.0
2020-07-11,249.0
2020-07-12,283.0
2020-07-13,304.0
2020-07-14,325.0
2020-07-15,342.0
2020-07-16,312.0
2020-07-17,250.0
2020-07-18,301.0
2020-07-19,338.0
2020-07-20,361.0
2020-07-21,375.0
2020-07-22,393.0
2020-07-23,402.0
2020-07-24,415.0
2020-07-25,429.0
2020-07-26,409.0
2020-07-27,405.0
2020-07-28,411.0
2020-07-29,395.0
2020-07-30,389.0
2020-07-31,402.0
2020-08-01,418.0
2020-08-02,398.0
2020-08-03,395.0
2020-08-04,419.0
2020-08-05,439.0
2020-08-06,425.0
2020-08-07,418.0
2020-08-08,434.0
2020-08-09,445.0
2020-08-10,449.0
2020-08-11,397.0
2020-08-12,375.0
2020-08-13,349.0
2020-08-14,321.0
2020-08-15,305.0
2020-08-16,293.0
2020-08-17,281.0
2020-08-18,269.0
2020-08-19,255.0
2020-08-20,247.0
2020-08-21,236.0
2020-08-22,220.0
2020-08-23,202.0
2020-08-24,189.0
2020-08-25,175.0
