2021-01-18,321.0
2021-01-19,321.0
2021-01-20,321.0
2021-01-21,321.0
2021-01-22,321.0
2021-01-23,321.0
2021-01-24,321.0
2021-01-25,321.0
2021-01-26,321.0
2021-01-27,321.0
2021-01-28,321.0
2021-01-29,321.0
2021-01-30,321.0
2021-01-31,321.0
2021-02-01,321.0
2021-02-02,321.0
2021-02-03,321.0
2021-02-04,321.0
2021-02-05,321.0
2021-02-06,321.0
2021-02-07,415.0
2021-02-08,509.0
2021-02-09,603.0
2021-02-10,697.0
2021-02-11,791.0
2021-02-12,885.0
2021-02-13,979.0
2021-02-14,979.0
2021-02-15,979.0
2021-02-16,979.0
2021-02-17,979.0
2021-02-18,979.0
2021-02-19,979.0
2021-02-20,979.0
2021-02-21,979.0
2021-02-22,979.0
2021-02-23,979.0
2021-02-24,979.0
2021-02-25,979.0
2021-02-26,979.0
2021-02-27,979.0
2021-02-28,979.0
2021-03-01,979.0
2021-03-02,1149.0
2021-03-03,1319.0
2021-03-04,1353.0
2021-03-05,1387.0
2021-03-06,1422.0
2021-03-07,1456.0
2021-03-08,1490.0
2021-03-09,1355.0
2021-03-10,1287.0
