2020-03-15,1.78
2020-03-16,1.83
2020-03-17,1.88
2020-03-18,1.95
2020-03-19,1.95
2020-03-20,1.99
2020-03-21,2.06
2020-03-22,2.12
2020-03-23,2.19
2020-03-24,2.19
2020-03-25,2.12
2020-03-26,2.07
2020-03-27,2.04
2020-03-28,1.97
2020-03-29,1.92
2020-03-30,1.84
2020-03-31,1.75
2020-04-01,1.7
2020-04-02,1.66
2020-04-03,1.63
2020-04-04,1.56
2020-04-05,1.49
2020-04-06,1.43
2020-04-07,1.4
2020-04-08,1.37
2020-04-09,1.34
2020-04-10,1.3
2020-04-11,1.27
2020-04-12,1.23
2020-04-13,1.19
2020-04-14,1.17
2020-04-15,1.15
2020-04-16,1.14
2020-04-17,1.11
2020-04-18,1.09
2020-04-19,1.06
2020-04-20,1.04
2020-04-21,1.04
2020-04-22,1.05
2020-04-23,1.03
2020-04-24,1.01
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,0.99
2020-04-28,0.98
2020-04-29,0.98
2020-04-30,0.97
2020-05-01,0.97
2020-05-02,0.96
2020-05-03,0.97
2020-05-04,0.97
2020-05-05,0.96
2020-05-06,0.95
2020-05-07,0.94
2020-05-08,0.92
2020-05-09,0.9
2020-05-10,0.88
2020-05-11,0.86
2020-05-12,0.85
2020-05-13,0.84
2020-05-14,0.84
2020-05-15,0.83
2020-05-16,0.83
2020-05-17,0.82
2020-05-18,0.82
2020-05-19,0.82
2020-05-20,0.83
2020-05-21,0.84
2020-05-22,0.84
2020-05-23,0.86
2020-05-24,0.88
2020-05-25,0.89
2020-05-26,0.89
2020-05-27,0.9
2020-05-28,0.91
2020-05-29,0.91
2020-05-30,0.91
2020-05-31,0.92
2020-06-01,0.94
2020-06-02,0.96
2020-06-03,0.99
2020-06-04,1.02
2020-06-05,1.03
2020-06-06,1.04
2020-06-07,1.05
2020-06-08,1.06
2020-06-09,1.09
2020-06-10,1.12
2020-06-11,1.15
2020-06-12,1.17
2020-06-13,1.19
2020-06-14,1.2
2020-06-15,1.2
2020-06-16,1.21
2020-06-17,1.22
2020-06-18,1.22
2020-06-19,1.21
2020-06-20,1.2
2020-06-21,1.19
2020-06-22,1.18
2020-06-23,1.17
2020-06-24,1.19
2020-06-25,1.2
2020-06-26,1.19
2020-06-27,1.17
2020-06-28,1.16
2020-06-29,1.16
2020-06-30,1.17
2020-07-01,1.18
2020-07-02,1.19
2020-07-03,1.2
2020-07-04,1.2
2020-07-05,1.2
2020-07-06,1.21
2020-07-07,1.23
2020-07-08,1.26
2020-07-09,1.28
2020-07-10,1.28
2020-07-11,1.28
2020-07-12,1.27
2020-07-13,1.27
2020-07-14,1.29
2020-07-15,1.3
2020-07-16,1.31
2020-07-17,1.32
2020-07-18,1.32
2020-07-19,1.31
2020-07-20,1.31
2020-07-21,1.32
2020-07-22,1.32
2020-07-23,1.32
2020-07-24,1.3
2020-07-25,1.29
2020-07-26,1.27
2020-07-27,1.25
2020-07-28,1.23
2020-07-29,1.21
2020-07-30,1.2
2020-07-31,1.17
2020-08-01,1.15
2020-08-02,1.13
2020-08-03,1.11
2020-08-04,1.11
2020-08-05,1.11
2020-08-06,1.1
2020-08-07,1.09
2020-08-08,1.08
2020-08-09,1.06
2020-08-10,1.05
2020-08-11,1.05
2020-08-12,1.06
2020-08-13,1.05
2020-08-14,1.04
2020-08-15,1.03
2020-08-16,1.01
2020-08-17,1.0
2020-08-18,1.0
2020-08-19,1.01
2020-08-20,1.01
2020-08-21,1.01
2020-08-22,1.0
2020-08-23,0.99
2020-08-24,0.99
2020-08-25,1.0
2020-08-26,1.01
2020-08-27,1.02
2020-08-28,1.01
2020-08-29,1.01
2020-08-30,0.99
2020-08-31,0.99
2020-09-01,1.0
2020-09-02,1.02
2020-09-03,1.02
2020-09-04,1.02
2020-09-05,1.02
2020-09-06,1.02
2020-09-07,1.02
2020-09-08,1.02
2020-09-09,1.03
2020-09-10,1.04
2020-09-11,1.04
2020-09-12,1.04
2020-09-13,1.04
2020-09-14,1.04
2020-09-15,1.06
2020-09-16,1.08
2020-09-17,1.09
2020-09-18,1.09
2020-09-19,1.08
2020-09-20,1.07
2020-09-21,1.08
2020-09-22,1.09
2020-09-23,1.12
2020-09-24,1.13
2020-09-25,1.14
2020-09-26,1.15
2020-09-27,1.16
2020-09-28,1.17
2020-09-29,1.19
2020-09-30,1.21
2020-10-01,1.23
2020-10-02,1.24
2020-10-03,1.24
2020-10-04,1.24
2020-10-05,1.25
2020-10-06,1.27
2020-10-07,1.3
2020-10-08,1.31
2020-10-09,1.31
2020-10-10,1.3
2020-10-11,1.29
2020-10-12,1.27
2020-10-13,1.28
2020-10-14,1.29
2020-10-15,1.28
2020-10-16,1.27
2020-10-17,1.26
2020-10-18,1.24
2020-10-19,1.23
2020-10-20,1.23
2020-10-21,1.25
2020-10-22,1.25
2020-10-23,1.24
2020-10-24,1.23
2020-10-25,1.22
2020-10-26,1.22
2020-10-27,1.23
2020-10-28,1.25
2020-10-29,1.27
2020-10-30,1.27
2020-10-31,1.26
2020-11-01,1.26
2020-11-02,1.26
2020-11-03,1.28
2020-11-04,1.29
2020-11-05,1.29
2020-11-06,1.27
2020-11-07,1.24
2020-11-08,1.2
2020-11-09,1.17
2020-11-10,1.17
2020-11-11,1.17
2020-11-12,1.16
2020-11-13,1.14
2020-11-14,1.12
2020-11-15,1.09
2020-11-16,1.08
2020-11-17,1.08
2020-11-18,1.07
2020-11-19,1.06
2020-11-20,1.04
2020-11-21,1.02
2020-11-22,0.99
2020-11-23,0.98
2020-11-24,0.98
2020-11-25,0.98
2020-11-26,0.97
2020-11-27,0.95
2020-11-28,0.93
2020-11-29,0.91
2020-11-30,0.9
2020-12-01,0.9
2020-12-02,0.91
2020-12-03,0.93
2020-12-04,0.94
2020-12-05,0.94
2020-12-06,0.93
2020-12-07,0.92
2020-12-08,0.94
2020-12-09,0.94
2020-12-10,0.94
2020-12-11,0.93
2020-12-12,0.91
2020-12-13,0.9
2020-12-14,0.9
2020-12-15,0.91
2020-12-16,0.91
2020-12-17,0.92
2020-12-18,0.92
