2020-11-18,198410.0
2020-11-19,198410.0
2020-11-20,198410.0
2020-11-21,198410.0
2020-11-22,198410.0
2020-11-23,198410.0
2020-11-24,198410.0
2020-11-25,198410.0
2020-11-26,198410.0
2020-11-27,198410.0
2020-11-28,198410.0
2020-11-29,198410.0
2020-11-30,198410.0
2020-12-01,198410.0
2020-12-02,198410.0
2020-12-03,198410.0
2020-12-04,198410.0
2020-12-05,198410.0
2020-12-06,198410.0
2020-12-07,198410.0
2020-12-08,198410.0
2020-12-09,198410.0
2020-12-10,198410.0
2020-12-11,198410.0
2020-12-12,198410.0
2020-12-13,198410.0
2020-12-14,198410.0
2020-12-15,198410.0
2020-12-16,198410.0
2020-12-17,198410.0
2020-12-18,198410.0
2020-12-19,198410.0
2020-12-20,198410.0
2020-12-21,198410.0
2020-12-22,198410.0
2020-12-23,198410.0
2020-12-24,198410.0
2020-12-25,198410.0
2020-12-26,198410.0
2020-12-27,198410.0
2020-12-28,198410.0
2020-12-29,198410.0
2020-12-30,198410.0
2020-12-31,198410.0
2021-01-01,198410.0
2021-01-02,198410.0
2021-01-03,198410.0
2021-01-04,198410.0
2021-01-05,198410.0
2021-01-06,198410.0
2021-01-07,198410.0
2021-01-08,198410.0
2021-01-09,198410.0
2021-01-10,198410.0
2021-01-11,198410.0
2021-01-12,198410.0
2021-01-13,198410.0
2021-01-14,198410.0
2021-01-15,198410.0
2021-01-16,198410.0
2021-01-17,198410.0
2021-01-18,198410.0
2021-01-19,198410.0
2021-01-20,198410.0
2021-01-21,198410.0
2021-01-22,198410.0
2021-01-23,198410.0
2021-01-24,198410.0
2021-01-25,198410.0
2021-01-26,198410.0
2021-01-27,198410.0
2021-01-28,198410.0
2021-01-29,198410.0
2021-01-30,198410.0
2021-01-31,198410.0
2021-02-01,198410.0
2021-02-02,198410.0
2021-02-03,198410.0
2021-02-04,198410.0
2021-02-05,198410.0
2021-02-06,198410.0
2021-02-07,198410.0
2021-02-08,198410.0
2021-02-09,198410.0
2021-02-10,198410.0
2021-02-11,198410.0
2021-02-12,198410.0
2021-02-13,198410.0
