2021-01-10,33691.0
2021-01-11,33691.0
2021-01-12,33691.0
2021-01-13,33691.0
2021-01-14,33691.0
2021-01-15,33691.0
2021-01-16,33691.0
2021-01-17,33691.0
2021-01-18,33691.0
2021-01-19,33691.0
2021-01-20,33691.0
2021-01-21,33691.0
2021-01-22,33691.0
2021-01-23,33691.0
2021-01-24,33691.0
2021-01-25,33691.0
2021-01-26,33691.0
2021-01-27,33691.0
2021-01-28,33691.0
2021-01-29,33691.0
2021-01-30,33691.0
2021-01-31,33691.0
2021-02-01,33691.0
2021-02-02,33691.0
2021-02-03,33691.0
2021-02-04,33691.0
2021-02-05,33691.0
2021-02-06,33691.0
2021-02-07,33691.0
2021-02-08,33691.0
2021-02-09,33691.0
2021-02-10,33691.0
2021-02-11,33691.0
2021-02-12,33691.0
2021-02-13,33691.0
2021-02-14,33691.0
2021-02-15,33691.0
2021-02-16,33691.0
