2020-01-31,2.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,9.0
2020-03-07,0.0
2020-03-08,4.0
2020-03-09,0.0
2020-03-10,3.0
2020-03-11,0.0
2020-03-12,8.0
2020-03-13,17.0
2020-03-14,14.0
2020-03-15,4.0
2020-03-16,27.0
2020-03-17,24.0
2020-03-18,33.0
2020-03-19,52.0
2020-03-20,54.0
2020-03-21,53.0
2020-03-22,61.0
2020-03-23,71.0
2020-03-24,57.0
2020-03-25,163.0
2020-03-26,182.0
2020-03-27,196.0
2020-03-28,228.0
2020-03-29,270.0
2020-03-30,302.0
2020-03-31,501.0
2020-04-01,440.0
2020-04-02,771.0
2020-04-03,601.0
2020-04-04,582.0
2020-04-05,658.0
2020-04-06,954.0
2020-04-07,1154.0
2020-04-08,1175.0
2020-04-09,1459.0
2020-04-10,1786.0
2020-04-11,1667.0
2020-04-12,2186.0
2020-04-13,2558.0
2020-04-14,2774.0
2020-04-15,3388.0
2020-04-16,3448.0
2020-04-17,4070.0
2020-04-18,4785.0
2020-04-19,6060.0
2020-04-20,4268.0
2020-04-21,5642.0
2020-04-22,5236.0
2020-04-23,4774.0
2020-04-24,5849.0
2020-04-25,5966.0
2020-04-26,6361.0
2020-04-27,6198.0
2020-04-28,6411.0
2020-04-29,5841.0
2020-04-30,7099.0
2020-05-01,7933.0
2020-05-02,9623.0
2020-05-03,10633.0
2020-05-04,10581.0
2020-05-05,10102.0
2020-05-06,10559.0
2020-05-07,11231.0
2020-05-08,10699.0
2020-05-09,10817.0
2020-05-10,11012.0
2020-05-11,11656.0
2020-05-12,10899.0
2020-05-13,10028.0
2020-05-14,9974.0
2020-05-15,10598.0
2020-05-16,9200.0
2020-05-17,9709.0
2020-05-18,8926.0
2020-05-19,9263.0
2020-05-20,8764.0
2020-05-21,8849.0
2020-05-22,8894.0
2020-05-23,9434.0
2020-05-24,8599.0
2020-05-25,8946.0
2020-05-26,8915.0
2020-05-27,8338.0
2020-05-28,8371.0
2020-05-29,8572.0
2020-05-30,8952.0
2020-05-31,9268.0
2020-06-01,8485.0
2020-06-02,8858.0
2020-06-03,8529.0
2020-06-04,8823.0
2020-06-05,8718.0
2020-06-06,8846.0
2020-06-07,8971.0
2020-06-08,8970.0
2020-06-09,8587.0
2020-06-10,8393.0
2020-06-11,8777.0
2020-06-12,8961.0
2020-06-13,8697.0
2020-06-14,8809.0
2020-06-15,8217.0
2020-06-16,8241.0
2020-06-17,7824.0
2020-06-18,7772.0
2020-06-19,7971.0
2020-06-20,7870.0
2020-06-21,7717.0
2020-06-22,7586.0
2020-06-23,7413.0
2020-06-24,7165.0
2020-06-25,7105.0
2020-06-26,6788.0
2020-06-27,6843.0
2020-06-28,6784.0
2020-06-29,6683.0
2020-06-30,6683.0
2020-07-01,6550.0
2020-07-02,6752.0
2020-07-03,6710.0
2020-07-04,6623.0
2020-07-05,6719.0
2020-07-06,6569.0
2020-07-07,6363.0
2020-07-08,6534.0
2020-07-09,6491.0
2020-07-10,6623.0
2020-07-11,6586.0
2020-07-12,6587.0
2020-07-13,6511.0
2020-07-14,6240.0
2020-07-15,6410.0
2020-07-16,6415.0
2020-07-17,6389.0
2020-07-18,6214.0
2020-07-19,6096.0
2020-07-20,5901.0
2020-07-21,5828.0
2020-07-22,5850.0
2020-07-23,5830.0
2020-07-24,5779.0
2020-07-25,5833.0
2020-07-26,5741.0
2020-07-27,5607.0
2020-07-28,5380.0
2020-07-29,5449.0
2020-07-30,5484.0
2020-07-31,5468.0
2020-08-01,5429.0
2020-08-02,5387.0
2020-08-03,5364.0
2020-08-04,5121.0
2020-08-05,5186.0
2020-08-06,5239.0
2020-08-07,5191.0
2020-08-08,5185.0
2020-08-09,5155.0
2020-08-10,5081.0
2020-08-11,4892.0
2020-08-12,5054.0
2020-08-13,5017.0
2020-08-14,5016.0
2020-08-15,5030.0
2020-08-16,4911.0
2020-08-17,4839.0
2020-08-18,4718.0
2020-08-19,4790.0
2020-08-20,4767.0
2020-08-21,4838.0
2020-08-22,4860.0
2020-08-23,4797.0
2020-08-24,4688.0
2020-08-25,4639.0
2020-08-26,4642.0
2020-08-27,4675.0
2020-08-28,4758.0
2020-08-29,4843.0
2020-08-30,4897.0
2020-08-31,4932.0
2020-09-01,4670.0
2020-09-02,4893.0
2020-09-03,4958.0
2020-09-04,5064.0
2020-09-05,5144.0
2020-09-06,5097.0
2020-09-07,5106.0
2020-09-08,5020.0
2020-09-09,5172.0
2020-09-10,5310.0
2020-09-11,5421.0
2020-09-12,5406.0
2020-09-13,5361.0
2020-09-14,5414.0
2020-09-15,5435.0
2020-09-16,5612.0
2020-09-17,5667.0
2020-09-18,5803.0
2020-09-19,5960.0
2020-09-20,6043.0
2020-09-21,6090.0
2020-09-22,6109.0
2020-09-23,6330.0
2020-09-24,6489.0
2020-09-25,7112.0
2020-09-26,7421.0
2020-09-27,7764.0
2020-09-28,8026.0
2020-09-29,8129.0
2020-09-30,8371.0
2020-10-01,8835.0
2020-10-02,9294.0
2020-10-03,9735.0
2020-10-04,10376.0
2020-10-05,10757.0
2020-10-06,11481.0
2020-10-07,10981.0
2020-10-08,11345.0
2020-10-09,11969.0
2020-10-10,12673.0
2020-10-11,13442.0
2020-10-12,13406.0
2020-10-13,13690.0
2020-10-14,14041.0
2020-10-15,13556.0
2020-10-16,14937.0
2020-10-17,14703.0
2020-10-18,14804.0
2020-10-19,15843.0
2020-10-20,16108.0
2020-10-21,15444.0
2020-10-22,15704.0
2020-10-23,17077.0
2020-10-24,16260.0
2020-10-25,16392.0
2020-10-26,17148.0
2020-10-27,16342.0
2020-10-28,15886.0
2020-10-29,17418.0
2020-10-30,17987.0
2020-10-31,17834.0
2020-11-01,18381.0
2020-11-02,18017.0
2020-11-03,18431.0
2020-11-04,19483.0
2020-11-05,19116.0
2020-11-06,20368.0
2020-11-07,20109.0
2020-11-08,20248.0
2020-11-09,21577.0
2020-11-10,20765.0
2020-11-11,19583.0
2020-11-12,21333.0
2020-11-13,21717.0
2020-11-14,22441.0
2020-11-15,22313.0
2020-11-16,22562.0
2020-11-17,22201.0
2020-11-18,20717.0
2020-11-19,23337.0
2020-11-20,24059.0
2020-11-21,24538.0
2020-11-22,24295.0
2020-11-23,24891.0
2020-11-24,24087.0
2020-11-25,23393.0
2020-11-26,25195.0
2020-11-27,27267.0
2020-11-28,26809.0
2020-11-29,26390.0
2020-11-30,26046.0
2020-12-01,26126.0
2020-12-02,25043.0
2020-12-03,27829.0
2020-12-04,27078.0
2020-12-05,28450.0
2020-12-06,28701.0
2020-12-07,27798.0
2020-12-08,25752.0
2020-12-09,25838.0
2020-12-10,27562.0
2020-12-11,28206.0
2020-12-12,27729.0
2020-12-13,27651.0
2020-12-14,26902.0
2020-12-15,26265.0
2020-12-16,26074.0
2020-12-17,27787.0
2020-12-18,28116.0
2020-12-19,27772.0
2020-12-20,28510.0
2020-12-21,28917.0
2020-12-22,28340.0
2020-12-23,26814.0
2020-12-24,29499.0
2020-12-25,28595.0
2020-12-26,28833.0
2020-12-27,27849.0
