2020-12-31,63.0
2021-01-01,63.0
2021-01-02,63.0
2021-01-03,63.0
2021-01-04,63.0
2021-01-05,63.0
2021-01-06,63.0
2021-01-07,63.0
2021-01-08,63.0
2021-01-09,63.0
2021-01-10,63.0
2021-01-11,63.0
2021-01-12,63.0
2021-01-13,63.0
2021-01-14,63.0
2021-01-15,63.0
2021-01-16,63.0
2021-01-17,63.0
2021-01-18,63.0
2021-01-19,63.0
2021-01-20,63.0
2021-01-21,312.0
2021-01-22,560.0
2021-01-23,809.0
2021-01-24,1057.0
2021-01-25,1306.0
2021-01-26,1318.0
2021-01-27,1331.0
2021-01-28,1103.0
2021-01-29,874.0
2021-01-30,646.0
2021-01-31,417.0
2021-02-01,189.0
2021-02-02,197.0
2021-02-03,204.0
2021-02-04,215.0
2021-02-05,226.0
2021-02-06,204.0
2021-02-07,182.0
2021-02-08,159.0
2021-02-09,200.0
2021-02-10,241.0
2021-02-11,271.0
2021-02-12,301.0
2021-02-13,305.0
2021-02-14,309.0
2021-02-15,312.0
2021-02-16,269.0
2021-02-17,418.0
2021-02-18,817.0
2021-02-19,871.0
2021-02-20,957.0
2021-02-21,1044.0
2021-02-22,1131.0
2021-02-23,1129.0
2021-02-24,1160.0
2021-02-25,943.0
2021-02-26,920.0
2021-02-27,895.0
2021-02-28,871.0
2021-03-01,846.0
2021-03-02,843.0
2021-03-03,975.0
2021-03-04,1106.0
2021-03-05,1085.0
