2020-12-29,43.0
2020-12-30,43.0
2020-12-31,43.0
2021-01-01,43.0
2021-01-02,43.0
2021-01-03,43.0
2021-01-04,43.0
2021-01-05,43.0
2021-01-06,43.0
2021-01-07,43.0
2021-01-08,43.0
2021-01-09,43.0
2021-01-10,43.0
2021-01-11,43.0
2021-01-12,43.0
2021-01-13,43.0
2021-01-14,43.0
2021-01-15,43.0
2021-01-16,43.0
2021-01-17,43.0
2021-01-18,43.0
2021-01-19,43.0
2021-01-20,43.0
2021-01-21,43.0
2021-01-22,43.0
2021-01-23,43.0
2021-01-24,43.0
2021-01-25,43.0
2021-01-26,43.0
2021-01-27,43.0
2021-01-28,43.0
2021-01-29,43.0
2021-01-30,43.0
2021-01-31,43.0
2021-02-01,43.0
2021-02-02,43.0
2021-02-03,43.0
2021-02-04,43.0
2021-02-05,43.0
2021-02-06,43.0
2021-02-07,43.0
2021-02-08,43.0
2021-02-09,43.0
2021-02-10,43.0
2021-02-11,43.0
2021-02-12,43.0
2021-02-13,43.0
2021-02-14,43.0
2021-02-15,43.0
2021-02-16,43.0
2021-02-17,43.0
2021-02-18,43.0
