2020-04-01,0.183
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.183
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.733
2020-04-16,0.366
2020-04-17,0.183
2020-04-18,0.366
2020-04-19,0.183
2020-04-20,0.183
2020-04-21,0.183
2020-04-22,0.0
2020-04-23,0.183
2020-04-24,0.366
2020-04-25,0.0
2020-04-26,0.183
2020-04-27,0.0
2020-04-28,0.366
2020-04-29,0.366
2020-04-30,0.183
2020-05-01,0.0
2020-05-02,0.183
2020-05-03,0.0
2020-05-04,0.183
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.183
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.183
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.183
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.183
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.366
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.366
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.733
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.183
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.183
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.183
2020-09-23,0.183
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.549
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.183
2020-09-30,0.549
2020-10-01,0.0
2020-10-02,1.099
2020-10-03,0.0
2020-10-04,0.183
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.366
2020-10-09,0.0
2020-10-10,0.733
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.916
2020-10-15,0.916
2020-10-16,0.0
2020-10-17,2.015
2020-10-18,1.099
2020-10-19,0.733
2020-10-20,1.099
2020-10-21,0.0
2020-10-22,3.114
2020-10-23,3.48
2020-10-24,4.579
2020-10-25,0.0
2020-10-26,1.099
2020-10-27,2.015
2020-10-28,1.465
2020-10-29,2.931
2020-10-30,2.198
2020-10-31,1.282
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,2.931
2020-11-04,4.762
2020-11-05,4.579
2020-11-06,5.678
2020-11-07,6.228
2020-11-08,0.0
2020-11-09,2.747
2020-11-10,4.396
2020-11-11,4.396
2020-11-12,9.158
2020-11-13,4.945
2020-11-14,3.48
2020-11-15,0.0
2020-11-16,2.931
2020-11-17,5.678
2020-11-18,4.03
2020-11-19,0.0
2020-11-20,6.411
2020-11-21,5.495
2020-11-22,4.945
2020-11-23,4.03
2020-11-24,2.931
2020-11-25,4.213
2020-11-26,3.114
2020-11-27,4.03
2020-11-28,4.945
2020-11-29,3.297
2020-11-30,4.213
2020-12-01,5.312
2020-12-02,5.495
2020-12-03,5.861
2020-12-04,4.945
2020-12-05,4.396
2020-12-06,2.747
2020-12-07,4.03
2020-12-08,5.129
2020-12-09,6.96
2020-12-10,3.663
2020-12-11,3.297
2020-12-12,4.762
2020-12-13,4.945
2020-12-14,5.495
2020-12-15,8.425
2020-12-16,10.623
2020-12-17,12.638
2020-12-18,11.356
2020-12-19,12.821
2020-12-20,8.242
2020-12-21,11.539
2020-12-22,0.0
2020-12-23,12.455
2020-12-24,8.425
