2020-01-23,0.0
2020-01-24,1.0
2020-01-25,0.0
2020-01-26,1.0
2020-01-27,1.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,7.0
2020-02-01,1.0
2020-02-02,3.0
2020-02-03,0.0
2020-02-04,1.0
2020-02-05,3.0
2020-02-06,4.0
2020-02-07,1.0
2020-02-08,0.0
2020-02-09,1.0
2020-02-10,2.0
2020-02-11,1.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,0.0
2020-02-20,73.0
2020-02-21,100.0
2020-02-22,229.0
2020-02-23,169.0
2020-02-24,231.0
2020-02-25,144.0
2020-02-26,284.0
2020-02-27,505.0
2020-02-28,571.0
2020-02-29,813.0
2020-03-01,586.0
2020-03-02,599.0
2020-03-03,851.0
2020-03-04,435.0
2020-03-05,467.0
2020-03-06,505.0
2020-03-07,448.0
2020-03-08,273.0
2020-03-09,164.0
2020-03-10,35.0
2020-03-11,242.0
2020-03-12,114.0
2020-03-13,110.0
2020-03-14,107.0
2020-03-15,76.0
2020-03-16,74.0
2020-03-17,84.0
2020-03-18,93.0
2020-03-19,152.0
2020-03-20,87.0
2020-03-21,147.0
2020-03-22,162.0
2020-03-23,0.0
2020-03-24,76.0
2020-03-25,100.0
2020-03-26,104.0
2020-03-27,91.0
2020-03-28,146.0
2020-03-29,105.0
2020-03-30,78.0
2020-03-31,125.0
2020-04-01,101.0
2020-04-02,89.0
2020-04-03,86.0
2020-04-04,94.0
2020-04-05,81.0
2020-04-06,47.0
2020-04-07,47.0
2020-04-08,53.0
2020-04-09,39.0
2020-04-10,27.0
2020-04-11,30.0
2020-04-12,32.0
2020-04-13,25.0
2020-04-14,27.0
2020-04-15,27.0
2020-04-16,22.0
2020-04-17,22.0
2020-04-18,18.0
2020-04-19,8.0
2020-04-20,13.0
2020-04-21,9.0
2020-04-22,11.0
2020-04-23,14.0
2020-04-24,10.0
2020-04-25,10.0
2020-04-26,10.0
2020-04-27,14.0
2020-04-28,9.0
2020-04-29,4.0
2020-04-30,9.0
2020-05-01,6.0
2020-05-02,13.0
2020-05-03,8.0
2020-05-04,3.0
2020-05-05,2.0
2020-05-06,4.0
2020-05-07,12.0
2020-05-08,18.0
2020-05-09,34.0
2020-05-10,35.0
2020-05-11,27.0
2020-05-12,26.0
2020-05-13,29.0
2020-05-14,27.0
2020-05-15,19.0
2020-05-16,13.0
2020-05-17,15.0
2020-05-18,13.0
2020-05-19,32.0
2020-05-20,12.0
2020-05-21,20.0
2020-05-22,23.0
2020-05-23,25.0
2020-05-24,16.0
2020-05-25,19.0
2020-05-26,40.0
2020-05-27,79.0
2020-05-28,58.0
2020-05-29,39.0
2020-05-30,27.0
2020-05-31,35.0
2020-06-01,38.0
2020-06-02,49.0
2020-06-03,39.0
2020-06-04,39.0
2020-06-05,51.0
2020-06-06,57.0
2020-06-07,38.0
2020-06-08,38.0
2020-06-09,50.0
2020-06-10,45.0
2020-06-11,56.0
2020-06-12,48.0
2020-06-13,34.0
2020-06-14,36.0
2020-06-15,34.0
2020-06-16,43.0
2020-06-17,59.0
2020-06-18,49.0
2020-06-19,67.0
2020-06-20,48.0
2020-06-21,17.0
2020-06-22,46.0
2020-06-23,51.0
2020-06-24,28.0
2020-06-25,39.0
2020-06-26,51.0
2020-06-27,62.0
2020-06-28,42.0
2020-06-29,43.0
2020-06-30,50.0
2020-07-01,54.0
2020-07-02,63.0
2020-07-03,63.0
2020-07-04,61.0
2020-07-05,46.0
2020-07-06,44.0
2020-07-07,63.0
2020-07-08,49.0
2020-07-09,45.0
2020-07-10,35.0
2020-07-11,44.0
2020-07-12,62.0
2020-07-13,33.0
2020-07-14,39.0
2020-07-15,61.0
2020-07-16,60.0
2020-07-17,39.0
2020-07-18,34.0
2020-07-19,26.0
2020-07-20,45.0
2020-07-21,63.0
2020-07-22,59.0
2020-07-23,41.0
2020-07-24,113.0
2020-07-25,58.0
2020-07-26,25.0
2020-07-27,28.0
2020-07-28,48.0
2020-07-29,18.0
2020-07-30,36.0
2020-07-31,31.0
2020-08-01,30.0
2020-08-02,23.0
2020-08-03,34.0
2020-08-04,33.0
2020-08-05,43.0
2020-08-06,20.0
2020-08-07,43.0
2020-08-08,36.0
2020-08-09,28.0
2020-08-10,34.0
2020-08-11,54.0
2020-08-12,56.0
2020-08-13,103.0
2020-08-14,166.0
2020-08-15,279.0
2020-08-16,197.0
2020-08-17,246.0
2020-08-18,297.0
2020-08-19,288.0
2020-08-20,324.0
2020-08-21,332.0
2020-08-22,397.0
2020-08-23,266.0
2020-08-24,280.0
2020-08-25,320.0
2020-08-26,441.0
2020-08-27,371.0
2020-08-28,323.0
2020-08-29,299.0
2020-08-30,248.0
2020-08-31,235.0
2020-09-01,267.0
2020-09-02,195.0
2020-09-03,198.0
2020-09-04,168.0
2020-09-05,167.0
2020-09-06,119.0
2020-09-07,136.0
2020-09-08,156.0
2020-09-09,155.0
2020-09-10,176.0
2020-09-11,136.0
2020-09-12,121.0
2020-09-13,109.0
2020-09-14,106.0
2020-09-15,113.0
2020-09-16,153.0
2020-09-17,126.0
2020-09-18,110.0
2020-09-19,82.0
2020-09-20,70.0
2020-09-21,61.0
2020-09-22,110.0
2020-09-23,125.0
2020-09-24,114.0
2020-09-25,61.0
2020-09-26,95.0
2020-09-27,50.0
2020-09-28,38.0
2020-09-29,113.0
2020-09-30,77.0
2020-10-01,63.0
2020-10-02,75.0
2020-10-03,64.0
2020-10-04,73.0
2020-10-05,75.0
2020-10-06,114.0
2020-10-07,69.0
2020-10-08,54.0
2020-10-09,72.0
2020-10-10,58.0
2020-10-11,97.0
2020-10-12,102.0
2020-10-13,84.0
2020-10-14,99.0
2020-10-15,47.0
2020-10-16,73.0
2020-10-17,91.0
2020-10-18,76.0
2020-10-19,58.0
2020-10-20,91.0
2020-10-21,119.0
2020-10-22,155.0
2020-10-23,77.0
2020-10-24,61.0
2020-10-25,119.0
2020-10-26,88.0
2020-10-27,103.0
2020-10-28,125.0
2020-10-29,114.0
2020-10-30,126.0
2020-10-31,124.0
2020-11-01,97.0
2020-11-02,75.0
2020-11-03,118.0
2020-11-04,125.0
2020-11-05,145.0
2020-11-06,89.0
2020-11-07,143.0
2020-11-08,126.0
2020-11-09,100.0
2020-11-10,146.0
2020-11-11,143.0
2020-11-12,191.0
2020-11-13,205.0
2020-11-14,208.0
2020-11-15,223.0
2020-11-16,229.0
2020-11-17,313.0
2020-11-18,343.0
2020-11-19,363.0
2020-11-20,386.0
2020-11-21,330.0
2020-11-22,271.0
2020-11-23,349.0
2020-11-24,382.0
2020-11-25,583.0
2020-11-26,569.0
2020-11-27,488.0
2020-11-28,449.0
2020-11-29,377.0
2020-11-30,451.0
2020-12-01,511.0
2020-12-02,540.0
2020-12-03,629.0
2020-12-04,583.0
2020-12-05,631.0
2020-12-06,615.0
2020-12-07,594.0
2020-12-08,677.0
2020-12-09,666.0
2020-12-10,688.0
2020-12-11,950.0
2020-12-12,1030.0
2020-12-13,718.0
2020-12-14,880.0
2020-12-15,1078.0
2020-12-16,1011.0
2020-12-17,1062.0
2020-12-18,1055.0
2020-12-19,1095.0
2020-12-20,926.0
2020-12-21,869.0
2020-12-22,1090.0
2020-12-23,983.0
2020-12-24,1237.0
2020-12-25,1132.0
2020-12-26,970.0
2020-12-27,808.0
2020-12-28,1045.0
2020-12-29,1048.0
2020-12-30,967.0
2020-12-31,1029.0
2021-01-01,824.0
2021-01-02,651.0
2021-01-03,1020.0
2021-01-04,715.0
2021-01-05,839.0
2021-01-06,868.0
2021-01-07,672.0
2021-01-08,641.0
