2020-03-15,0.044
2020-03-16,0.044
2020-03-17,0.174
2020-03-18,0.218
2020-03-19,0.218
2020-03-20,0.218
2020-03-21,0.392
2020-03-22,0.392
2020-03-23,0.392
2020-03-24,0.218
2020-03-25,0.174
2020-03-26,0.218
2020-03-27,0.218
2020-03-28,0.087
2020-03-29,0.087
2020-03-30,0.087
2020-03-31,0.087
2020-04-01,0.174
2020-04-02,0.131
2020-04-03,0.131
2020-04-04,0.087
2020-04-05,0.087
2020-04-06,0.131
2020-04-07,0.131
2020-04-08,0.087
2020-04-09,0.087
2020-04-10,0.087
2020-04-11,0.087
2020-04-12,0.087
2020-04-13,0.087
2020-04-14,0.654
2020-04-15,0.61
2020-04-16,0.654
2020-04-17,0.654
2020-04-18,0.654
2020-04-19,0.697
2020-04-20,0.697
2020-04-21,0.174
2020-04-22,0.218
2020-04-23,0.218
2020-04-24,0.261
2020-04-25,0.261
2020-04-26,0.261
2020-04-27,0.218
2020-04-28,0.174
2020-04-29,0.131
2020-04-30,0.087
2020-05-01,0.044
2020-05-02,0.087
2020-05-03,0.044
2020-05-04,0.087
2020-05-05,0.131
2020-05-06,0.131
2020-05-07,0.131
2020-05-08,0.174
2020-05-09,0.131
2020-05-10,0.131
2020-05-11,0.087
2020-05-12,0.044
2020-05-13,0.044
2020-05-14,2.484
2020-05-15,2.44
2020-05-16,4.053
2020-05-17,4.096
2020-05-18,4.271
2020-05-19,4.271
2020-05-20,4.271
2020-05-21,1.83
2020-05-22,1.874
2020-05-23,0.261
2020-05-24,0.218
2020-05-25,0.044
2020-05-26,0.044
2020-05-27,0.349
2020-05-28,0.915
2020-05-29,1.656
2020-05-30,1.656
2020-05-31,1.656
2020-06-01,1.917
2020-06-02,1.917
2020-06-03,1.612
2020-06-04,1.089
2020-06-05,0.523
2020-06-06,0.61
2020-06-07,0.61
2020-06-08,0.392
2020-06-09,0.392
2020-06-10,0.392
2020-06-11,0.479
2020-06-12,0.261
2020-06-13,0.174
2020-06-14,0.174
2020-06-15,0.131
2020-06-16,0.131
2020-06-17,0.305
2020-06-18,0.305
2020-06-19,0.305
2020-06-20,0.392
2020-06-21,0.697
2020-06-22,0.784
2020-06-23,0.784
2020-06-24,0.654
2020-06-25,0.654
2020-06-26,0.654
2020-06-27,0.566
2020-06-28,0.305
2020-06-29,0.218
2020-06-30,0.218
2020-07-01,0.174
2020-07-02,0.044
2020-07-03,0.044
2020-07-04,0.044
2020-07-05,0.0
2020-07-06,0.218
2020-07-07,0.305
2020-07-08,0.305
2020-07-09,0.305
2020-07-10,0.305
2020-07-11,0.436
2020-07-12,0.436
2020-07-13,0.784
2020-07-14,1.482
2020-07-15,1.482
2020-07-16,1.525
2020-07-17,2.615
2020-07-18,2.484
2020-07-19,2.484
2020-07-20,1.917
2020-07-21,1.133
2020-07-22,1.133
2020-07-23,1.133
2020-07-24,0.044
2020-07-25,0.044
2020-07-26,0.044
2020-07-27,0.087
2020-07-28,0.174
2020-07-29,0.174
2020-07-30,0.131
2020-07-31,0.131
2020-08-01,0.218
2020-08-02,0.218
2020-08-03,0.174
2020-08-04,0.087
2020-08-05,0.087
2020-08-06,0.087
2020-08-07,0.087
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.174
2020-08-13,0.174
2020-08-14,0.218
2020-08-15,0.218
2020-08-16,0.218
2020-08-17,0.218
2020-08-18,0.218
2020-08-19,0.044
2020-08-20,0.044
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.087
2020-08-26,0.131
2020-08-27,0.131
2020-08-28,0.131
2020-08-29,0.131
2020-08-30,0.131
2020-08-31,0.261
2020-09-01,0.261
2020-09-02,0.218
2020-09-03,0.392
2020-09-04,0.392
2020-09-05,0.392
2020-09-06,0.392
2020-09-07,0.261
2020-09-08,0.174
2020-09-09,0.174
2020-09-10,0.044
2020-09-11,0.044
2020-09-12,0.044
2020-09-13,0.044
2020-09-14,0.044
2020-09-15,0.044
2020-09-16,0.044
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.044
2020-09-20,0.044
2020-09-21,0.087
2020-09-22,0.087
2020-09-23,0.087
2020-09-24,0.087
2020-09-25,0.087
2020-09-26,0.044
2020-09-27,0.044
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.044
2020-10-05,0.087
2020-10-06,0.087
2020-10-07,0.087
2020-10-08,0.087
2020-10-09,0.087
2020-10-10,0.087
2020-10-11,0.174
2020-10-12,0.218
2020-10-13,0.218
2020-10-14,0.218
2020-10-15,0.218
2020-10-16,0.218
2020-10-17,0.218
2020-10-18,0.261
2020-10-19,0.261
2020-10-20,0.305
2020-10-21,0.349
2020-10-22,0.349
2020-10-23,0.349
2020-10-24,0.784
2020-10-25,0.654
2020-10-26,0.61
2020-10-27,0.566
2020-10-28,0.523
2020-10-29,0.523
2020-10-30,0.784
2020-10-31,0.349
2020-11-01,0.436
2020-11-02,0.436
2020-11-03,0.523
2020-11-04,0.566
2020-11-05,0.697
2020-11-06,0.479
2020-11-07,0.479
2020-11-08,0.566
2020-11-09,0.784
2020-11-10,1.307
2020-11-11,2.31
