2020-08-03,0.79
2020-08-04,0.79
2020-08-05,0.79
2020-08-06,0.79
2020-08-07,0.79
2020-08-08,0.79
2020-08-09,0.79
2020-08-10,0.79
2020-08-11,0.79
2020-08-12,0.79
2020-08-13,0.79
2020-08-14,0.78
2020-08-15,0.78
2020-08-16,0.78
2020-08-17,0.77
2020-08-18,0.77
2020-08-19,0.76
2020-08-20,0.76
2020-08-21,0.76
2020-08-22,0.75
2020-08-23,0.75
2020-08-24,0.74
2020-08-25,0.74
2020-08-26,0.74
2020-08-27,0.73
2020-08-28,0.73
2020-08-29,0.72
2020-08-30,0.72
2020-08-31,0.71
2020-09-01,0.71
2020-09-02,0.71
2020-09-03,0.7
2020-09-04,0.7
2020-09-05,0.7
2020-09-06,0.69
2020-09-07,0.69
2020-09-08,0.69
2020-09-09,0.68
2020-09-10,0.68
2020-09-11,0.68
2020-09-12,0.67
2020-09-13,0.67
2020-09-14,0.67
2020-09-15,0.66
2020-09-16,0.66
2020-09-17,0.66
2020-09-18,0.66
2020-09-19,0.66
2020-09-20,0.66
2020-09-21,0.66
2020-09-22,0.65
2020-09-23,0.65
2020-09-24,0.65
2020-09-25,0.65
2020-09-26,0.65
2020-09-27,0.65
2020-09-28,0.65
2020-09-29,0.65
2020-09-30,0.65
2020-10-01,0.65
2020-10-02,0.65
2020-10-03,0.65
2020-10-04,0.65
2020-10-05,0.65
2020-10-06,0.65
2020-10-07,0.65
2020-10-08,0.65
2020-10-09,0.65
2020-10-10,0.65
2020-10-11,0.65
2020-10-12,0.65
2020-10-13,0.65
2020-10-14,0.65
2020-10-15,0.65
2020-10-16,0.64
2020-10-17,0.64
2020-10-18,0.64
2020-10-19,0.63
2020-10-20,0.63
2020-10-21,0.63
2020-10-22,0.63
2020-10-23,0.63
2020-10-24,0.63
2020-10-25,0.63
2020-10-26,0.63
2020-10-27,0.63
2020-10-28,0.63
2020-10-29,0.62
2020-10-30,0.62
2020-10-31,0.62
2020-11-01,0.62
2020-11-02,0.62
2020-11-03,0.62
2020-11-04,0.62
2020-11-05,0.62
2020-11-06,0.62
2020-11-07,0.62
2020-11-08,0.62
2020-11-09,0.62
2020-11-10,0.62
2020-11-11,0.62
2020-11-12,0.62
2020-11-13,0.62
2020-11-14,0.62
2020-11-15,0.62
2020-11-16,0.62
2020-11-17,0.62
2020-11-18,0.62
2020-11-19,0.62
2020-11-20,0.61
2020-11-21,0.61
2020-11-22,0.61
2020-11-23,0.61
2020-11-24,0.61
2020-11-25,0.61
2020-11-26,0.61
2020-11-27,0.61
2020-11-28,0.6
2020-11-29,0.6
2020-11-30,0.6
2020-12-01,0.6
2020-12-02,0.59
2020-12-03,0.59
2020-12-04,0.58
2020-12-05,0.58
2020-12-06,0.58
2020-12-07,0.57
2020-12-08,0.57
2020-12-09,0.57
2020-12-10,0.57
2020-12-11,0.56
2020-12-12,0.56
2020-12-13,0.56
2020-12-14,0.56
2020-12-15,0.56
2020-12-16,0.56
2020-12-17,0.56
2020-12-18,0.55
2020-12-19,0.54
2020-12-20,0.54
2020-12-21,0.54
2020-12-22,0.53
2020-12-23,0.53
2020-12-24,0.52
2020-12-25,0.52
2020-12-26,0.52
2020-12-27,0.51
2020-12-28,0.51
2020-12-29,0.51
2020-12-30,0.51
2020-12-31,0.5
2021-01-01,0.5
2021-01-02,0.5
2021-01-03,0.5
2021-01-04,0.5
2021-01-05,0.5
2021-01-06,0.5
2021-01-07,0.5
2021-01-08,0.5
2021-01-09,0.5
2021-01-10,0.5
2021-01-11,0.5
2021-01-12,0.5
2021-01-13,0.5
2021-01-14,0.49
2021-01-15,0.49
2021-01-16,0.49
2021-01-17,0.49
2021-01-18,0.48
2021-01-19,0.48
2021-01-20,0.48
2021-01-21,0.48
2021-01-22,0.48
2021-01-23,0.48
2021-01-24,0.47
2021-01-25,0.47
2021-01-26,0.47
2021-01-27,0.47
2021-01-28,0.47
2021-01-29,0.47
2021-01-30,0.47
2021-01-31,0.47
2021-02-01,0.47
2021-02-02,0.47
2021-02-03,0.47
2021-02-04,0.48
2021-02-05,0.48
2021-02-06,0.48
2021-02-07,0.48
2021-02-08,0.48
2021-02-09,0.48
2021-02-10,0.48
2021-02-11,0.48
2021-02-12,0.48
2021-02-13,0.48
2021-02-14,0.48
2021-02-15,0.48
