2021-01-10,79.93
2021-01-11,79.93
2021-01-12,79.93
2021-01-13,79.93
2021-01-14,79.93
2021-01-15,79.93
2021-01-16,79.93
2021-01-17,79.93
2021-01-18,79.93
2021-01-19,79.93
2021-01-20,79.93
2021-01-21,79.93
2021-01-22,79.93
2021-01-23,79.93
2021-01-24,79.93
2021-01-25,79.93
2021-01-26,79.93
2021-01-27,79.93
2021-01-28,79.93
2021-01-29,79.93
2021-01-30,79.93
2021-01-31,79.93
2021-02-01,79.93
2021-02-02,79.93
2021-02-03,79.93
2021-02-04,79.93
2021-02-05,79.93
2021-02-06,79.93
2021-02-07,79.93
2021-02-08,79.93
2021-02-09,79.93
2021-02-10,79.93
2021-02-11,79.93
2021-02-12,79.93
2021-02-13,79.93
2021-02-14,79.93
2021-02-15,79.93
2021-02-16,79.93
2021-02-17,79.93
2021-02-18,79.93
2021-02-19,79.93
2021-02-20,79.93
2021-02-21,79.93
2021-02-22,79.93
2021-02-23,79.93
2021-02-24,79.93
2021-02-25,79.93
2021-02-26,79.93
2021-02-27,79.93
2021-02-28,79.93
2021-03-01,79.93
2021-03-02,79.93
2021-03-03,79.93
2021-03-04,79.93
2021-03-05,79.93
2021-03-06,79.93
2021-03-07,79.93
2021-03-08,79.93
