2021-01-17,112.0
2021-01-18,554.0
2021-01-19,3823.0
2021-01-20,7136.0
2021-01-21,27304.0
2021-01-22,40980.0
2021-01-23,76825.0
2021-01-24,86373.0
2021-01-25,99928.0
2021-01-26,119630.0
2021-01-27,157335.0
2021-01-28,187769.0
2021-01-29,203165.0
2021-01-30,209348.0
2021-01-31,209905.0
2021-02-01,203386.0
2021-02-02,206238.0
2021-02-03,198831.0
2021-02-04,231737.0
2021-02-05,200982.0
2021-02-06,199739.0
2021-02-07,211375.0
2021-02-08,211604.0
2021-02-09,218237.0
2021-02-10,228375.0
2021-02-11,190540.0
2021-02-12,231604.0
2021-02-13,246260.0
2021-02-14,240466.0
2021-02-15,241206.0
2021-02-16,255676.0
2021-02-17,251887.0
2021-02-18,257121.0
2021-02-19,262717.0
2021-02-20,241137.0
